geo_description,label,year,description,estimate,moe,se,cv
Guilford ,HD01_VD02,2012,Estimate; Male:,91430,372.94,190.28,0.21
United States,HD01_VD03,2012,Estimate; Male: - Less than 9th grade,1873147,23962.04,12225.53,0.65
North Carolina,HD01_VD03,2012,Estimate; Male: - Less than 9th grade,85709,5404.6,2757.45,3.22
Durham ,HD01_VD03,2012,Estimate; Male: - Less than 9th grade,799,573.11,292.4,36.6
Forsyth ,HD01_VD03,2012,Estimate; Male: - Less than 9th grade,2324,785.19,400.61,17.24
Guilford ,HD01_VD03,2012,Estimate; Male: - Less than 9th grade,2210,663.66,338.6,15.32
United States,HD01_VD04,2012,"Estimate; Male: - 9th to 12th grade, no diploma",4245313,36344,18542.86,0.44
North Carolina,HD01_VD04,2012,"Estimate; Male: - 9th to 12th grade, no diploma",176369,7469.45,3810.94,2.16
Durham ,HD01_VD04,2012,"Estimate; Male: - 9th to 12th grade, no diploma",1275,638.64,325.84,25.56
Forsyth ,HD01_VD04,2012,"Estimate; Male: - 9th to 12th grade, no diploma",4571,1159.32,591.49,12.94
Guilford ,HD01_VD04,2012,"Estimate; Male: - 9th to 12th grade, no diploma",5563,1148.6,586.02,10.53
United States,HD01_VD05,2012,Estimate; Male: - Regular high school diploma,16360145,63308.6,32300.31,0.2
North Carolina,HD01_VD05,2012,Estimate; Male: - Regular high school diploma,462962,12871.66,6567.17,1.42
Durham ,HD01_VD05,2012,Estimate; Male: - Regular high school diploma,3810,1507.23,768.99,20.18
Forsyth ,HD01_VD05,2012,Estimate; Male: - Regular high school diploma,13075,1768.17,902.13,6.9
Guilford ,HD01_VD05,2012,Estimate; Male: - Regular high school diploma,17041,2118.47,1080.85,6.34
United States,HD01_VD06,2012,Estimate; Male: - GED or alternative credential,3220015,32171.4,16413.98,0.51
North Carolina,HD01_VD06,2012,Estimate; Male: - GED or alternative credential,113827,6157.62,3141.64,2.76
Durham ,HD01_VD06,2012,Estimate; Male: - GED or alternative credential,1396,750.64,382.98,27.43
Forsyth ,HD01_VD06,2012,Estimate; Male: - GED or alternative credential,2878,867.4,442.55,15.38
Guilford ,HD01_VD06,2012,Estimate; Male: - GED or alternative credential,4219,1159.32,591.49,14.02
United States,HD01_VD07,2012,"Estimate; Male: - Some college, no degree",14703379,55668.77,28402.43,0.19
North Carolina,HD01_VD07,2012,"Estimate; Male: - Some college, no degree",462114,10586.38,5401.21,1.17
Durham ,HD01_VD07,2012,"Estimate; Male: - Some college, no degree",6148,1341.62,684.5,11.13
Forsyth ,HD01_VD07,2012,"Estimate; Male: - Some college, no degree",15240,2012.43,1026.75,6.74
Guilford ,HD01_VD07,2012,"Estimate; Male: - Some college, no degree",20214,2319.83,1183.59,5.86
United States,HD01_VD08,2012,Estimate; Male: - Associate's degree,5194566,37800,19285.71,0.37
North Carolina,HD01_VD08,2012,Estimate; Male: - Associate's degree,171845,8620.43,4398.18,2.56
Durham ,HD01_VD08,2012,Estimate; Male: - Associate's degree,2329,935.32,477.2,20.49
Forsyth ,HD01_VD08,2012,Estimate; Male: - Associate's degree,3735,1003.23,511.85,13.7
Guilford ,HD01_VD08,2012,Estimate; Male: - Associate's degree,5951,1550.13,790.88,13.29
United States,HD01_VD09,2012,Estimate; Male: - Bachelor's degree,14009286,74807.66,38167.17,0.27
North Carolina,HD01_VD09,2012,Estimate; Male: - Bachelor's degree,436924,10253.96,5231.61,1.2
Durham ,HD01_VD09,2012,Estimate; Male: - Bachelor's degree,13635,1229.62,627.36,4.6
Forsyth ,HD01_VD09,2012,Estimate; Male: - Bachelor's degree,17609,1982.64,1011.55,5.74
Guilford ,HD01_VD09,2012,Estimate; Male: - Bachelor's degree,23690,1933.79,986.63,4.16
United States,HD01_VD10,2012,Estimate; Male: - Graduate degree,8597023,46622.98,23787.23,0.28
North Carolina,HD01_VD10,2012,Estimate; Male: - Graduate degree,234855,7504,3828.57,1.63
Durham ,HD01_VD10,2012,Estimate; Male: - Graduate degree,11919,1416.68,722.8,6.06
Forsyth ,HD01_VD10,2012,Estimate; Male: - Graduate degree,11436,1384.51,706.38,6.18
Guilford ,HD01_VD10,2012,Estimate; Male: - Graduate degree,12542,1737.19,886.32,7.07
United States,HD01_VD11,2012,Estimate; Female:,72699293,9970.38,5086.93,0.01
North Carolina,HD01_VD11,2012,Estimate; Female:,2339710,2119.66,1081.46,0.05
Durham ,HD01_VD11,2012,Estimate; Female:,47730,229.96,117.33,0.25
Forsyth ,HD01_VD11,2012,Estimate; Female:,81265,229.96,117.33,0.14
Guilford ,HD01_VD11,2012,Estimate; Female:,101649,1038.98,530.09,0.52
United States,HD01_VD12,2012,Estimate; Female: - Less than 9th grade,1827865,26924.09,13736.78,0.75
North Carolina,HD01_VD12,2012,Estimate; Female: - Less than 9th grade,70524,4508.6,2300.31,3.26
Durham ,HD01_VD12,2012,Estimate; Female: - Less than 9th grade,311,249.02,127.05,40.85
Forsyth ,HD01_VD12,2012,Estimate; Female: - Less than 9th grade,1827,865.02,441.34,24.16
Guilford ,HD01_VD12,2012,Estimate; Female: - Less than 9th grade,1857,668.43,341.04,18.37
United States,HD01_VD13,2012,"Estimate; Female: - 9th to 12th grade, no diploma",4046162,35249.02,17984.19,0.44
North Carolina,HD01_VD13,2012,"Estimate; Female: - 9th to 12th grade, no diploma",155945,5931.23,3026.14,1.94
Durham ,HD01_VD13,2012,"Estimate; Female: - 9th to 12th grade, no diploma",1431,776.85,396.35,27.7
Forsyth ,HD01_VD13,2012,"Estimate; Female: - 9th to 12th grade, no diploma",4478,1323.74,675.38,15.08
Guilford ,HD01_VD13,2012,"Estimate; Female: - 9th to 12th grade, no diploma",4459,1074.72,548.33,12.3
United States,HD01_VD14,2012,Estimate; Female: - Regular high school diploma,18428113,65234.04,33282.67,0.18
North Carolina,HD01_VD14,2012,Estimate; Female: - Regular high school diploma,516150,10726.98,5472.95,1.06
Durham ,HD01_VD14,2012,Estimate; Female: - Regular high school diploma,6662,1590.64,811.55,12.18
Forsyth ,HD01_VD14,2012,Estimate; Female: - Regular high school diploma,18286,1960,1e3,5.47
Guilford ,HD01_VD14,2012,Estimate; Female: - Regular high school diploma,24453,2659.4,1356.84,5.55
United States,HD01_VD15,2012,Estimate; Female: - GED or alternative credential,2473957,28554.04,14568.39,0.59
North Carolina,HD01_VD15,2012,Estimate; Female: - GED or alternative credential,98866,5634.55,2874.77,2.91
Durham ,HD01_VD15,2012,Estimate; Female: - GED or alternative credential,714,527.83,269.3,37.72
Forsyth ,HD01_VD15,2012,Estimate; Female: - GED or alternative credential,2011,892.43,455.32,22.64
Guilford ,HD01_VD15,2012,Estimate; Female: - GED or alternative credential,3039,782.81,399.39,13.14
United States,HD01_VD16,2012,"Estimate; Female: - Some college, no degree",15952950,70501.62,35970.21,0.23
North Carolina,HD01_VD16,2012,"Estimate; Female: - Some college, no degree",522126,12397.45,6325.23,1.21
Durham ,HD01_VD16,2012,"Estimate; Female: - Some college, no degree",5692,1288,657.14,11.54
Forsyth ,HD01_VD16,2012,"Estimate; Female: - Some college, no degree",16473,2124.43,1083.89,6.58
Guilford ,HD01_VD16,2012,"Estimate; Female: - Some college, no degree",20839,2440.17,1244.98,5.97
United States,HD01_VD17,2012,Estimate; Female: - Associate's degree,6776277,43322.55,22103.34,0.33
North Carolina,HD01_VD17,2012,Estimate; Female: - Associate's degree,249790,9176.85,4682.07,1.87
Durham ,HD01_VD17,2012,Estimate; Female: - Associate's degree,2915,897.19,457.75,15.7
Forsyth ,HD01_VD17,2012,Estimate; Female: - Associate's degree,7660,1526.3,778.72,10.17
Guilford ,HD01_VD17,2012,Estimate; Female: - Associate's degree,8755,1620.43,826.75,9.44
United States,HD01_VD18,2012,Estimate; Female: - Bachelor's degree,14546531,61298.55,31274.77,0.21
North Carolina,HD01_VD18,2012,Estimate; Female: - Bachelor's degree,484637,11258.38,5744.07,1.19
Durham ,HD01_VD18,2012,Estimate; Female: - Bachelor's degree,15839,1744.34,889.97,5.62
Forsyth ,HD01_VD18,2012,Estimate; Female: - Bachelor's degree,21308,1942.13,990.88,4.65
Guilford ,HD01_VD18,2012,Estimate; Female: - Bachelor's degree,25634,2455.66,1252.89,4.89
United States,HD01_VD19,2012,Estimate; Female: - Graduate degree,8647438,48401.87,24694.83,0.29
North Carolina,HD01_VD19,2012,Estimate; Female: - Graduate degree,241672,7537.36,3845.59,1.59
Durham ,HD01_VD19,2012,Estimate; Female: - Graduate degree,14166,1618.04,825.53,5.83
Forsyth ,HD01_VD19,2012,Estimate; Female: - Graduate degree,9222,1467.91,748.93,8.12
Guilford ,HD01_VD19,2012,Estimate; Female: - Graduate degree,12613,1789.62,913.07,7.24
United States,HD01_VD01,2013,Estimate; Total:,141478073,19267.57,9830.39,0.01
North Carolina,HD01_VD01,2013,Estimate; Total:,4524330,3371.91,1720.36,0.04
Durham ,HD01_VD01,2013,Estimate; Total:,92566,296.68,151.37,0.16
Forsyth ,HD01_VD01,2013,Estimate; Total:,153339,137.02,69.91,0.05
Guilford ,HD01_VD01,2013,Estimate; Total:,194990,674.38,344.07,0.18
United States,HD01_VD02,2013,Estimate; Male:,68537849,13579.4,6928.27,0.01
North Carolina,HD01_VD02,2013,Estimate; Male:,2160306,2387.74,1218.23,0.06
Durham ,HD01_VD02,2013,Estimate; Male:,43464,239.49,122.19,0.28
Forsyth ,HD01_VD02,2013,Estimate; Male:,71419,239.49,122.19,0.17
Guilford ,HD01_VD02,2013,Estimate; Male:,92075,369.36,188.45,0.2
United States,HD01_VD03,2013,Estimate; Male: - Less than 9th grade,1863294,25732.6,13128.88,0.7
North Carolina,HD01_VD03,2013,Estimate; Male: - Less than 9th grade,79474,5565.45,2839.52,3.57
Durham ,HD01_VD03,2013,Estimate; Male: - Less than 9th grade,461,343.15,175.08,37.98
Forsyth ,HD01_VD03,2013,Estimate; Male: - Less than 9th grade,1251,631.49,322.19,25.75
Guilford ,HD01_VD03,2013,Estimate; Male: - Less than 9th grade,2435,801.87,409.12,16.8
United States,HD01_VD04,2013,"Estimate; Male: - 9th to 12th grade, no diploma",4157076,33723.91,17206.08,0.41
North Carolina,HD01_VD04,2013,"Estimate; Male: - 9th to 12th grade, no diploma",170058,8206.98,4187.23,2.46
Durham ,HD01_VD04,2013,"Estimate; Male: - 9th to 12th grade, no diploma",1933,985.36,502.73,26.01
Forsyth ,HD01_VD04,2013,"Estimate; Male: - 9th to 12th grade, no diploma",4169,1093.79,558.06,13.39
Guilford ,HD01_VD04,2013,"Estimate; Male: - 9th to 12th grade, no diploma",3558,1104.51,563.53,15.84
United States,HD01_VD05,2013,Estimate; Male: - Regular high school diploma,16271134,66275.4,33813.98,0.21
North Carolina,HD01_VD05,2013,Estimate; Male: - Regular high school diploma,452813,13009.87,6637.69,1.47
Durham ,HD01_VD05,2013,Estimate; Male: - Regular high school diploma,5143,1310.64,668.69,13
Forsyth ,HD01_VD05,2013,Estimate; Male: - Regular high school diploma,14782,1716.94,875.99,5.93
Guilford ,HD01_VD05,2013,Estimate; Male: - Regular high school diploma,16716,2254.3,1150.15,6.88
United States,HD01_VD06,2013,Estimate; Male: - GED or alternative credential,3225903,31825.87,16237.69,0.5
North Carolina,HD01_VD06,2013,Estimate; Male: - GED or alternative credential,116382,5720.34,2918.54,2.51
Durham ,HD01_VD06,2013,Estimate; Male: - GED or alternative credential,1199,533.79,272.34,22.71
Forsyth ,HD01_VD06,2013,Estimate; Male: - GED or alternative credential,2700,887.66,452.89,16.77
Guilford ,HD01_VD06,2013,Estimate; Male: - GED or alternative credential,3155,886.47,452.28,14.34
United States,HD01_VD07,2013,"Estimate; Male: - Some college, no degree",14702043,57564.43,29369.61,0.2
North Carolina,HD01_VD07,2013,"Estimate; Male: - Some college, no degree",463787,10993.87,5609.12,1.21
Durham ,HD01_VD07,2013,"Estimate; Male: - Some college, no degree",5623,1283.23,654.71,11.64
Forsyth ,HD01_VD07,2013,"Estimate; Male: - Some college, no degree",12967,1540.6,786.02,6.06
Guilford ,HD01_VD07,2013,"Estimate; Male: - Some college, no degree",18604,2287.66,1167.17,6.27
United States,HD01_VD08,2013,Estimate; Male: - Associate's degree,5281926,41705.7,21278.42,0.4
North Carolina,HD01_VD08,2013,Estimate; Male: - Associate's degree,179771,6839.15,3489.36,1.94
Durham ,HD01_VD08,2013,Estimate; Male: - Associate's degree,2078,941.28,480.24,23.11
Forsyth ,HD01_VD08,2013,Estimate; Male: - Associate's degree,5546,1201.02,612.77,11.05
Guilford ,HD01_VD08,2013,Estimate; Male: - Associate's degree,6208,1450.04,739.82,11.92
United States,HD01_VD09,2013,Estimate; Male: - Bachelor's degree,14250499,62216,31742.86,0.22
North Carolina,HD01_VD09,2013,Estimate; Male: - Bachelor's degree,451056,12166.3,6207.3,1.38
Durham ,HD01_VD09,2013,Estimate; Male: - Bachelor's degree,13766,1795.57,916.11,6.65
Forsyth ,HD01_VD09,2013,Estimate; Male: - Bachelor's degree,18443,2251.91,1148.93,6.23
Guilford ,HD01_VD09,2013,Estimate; Male: - Bachelor's degree,26675,2244.77,1145.29,4.29
United States,HD01_VD10,2013,Estimate; Male: - Graduate or professional degree,8785974,50065.19,25543.46,0.29
North Carolina,HD01_VD10,2013,Estimate; Male: - Graduate or professional degree,246965,8975.49,4579.33,1.85
Durham ,HD01_VD10,2013,Estimate; Male: - Graduate or professional degree,13261,1874.21,956.23,7.21
Forsyth ,HD01_VD10,2013,Estimate; Male: - Graduate or professional degree,11561,1535.83,783.59,6.78
Guilford ,HD01_VD10,2013,Estimate; Male: - Graduate or professional degree,14724,1948.09,993.92,6.75
United States,HD01_VD11,2013,Estimate; Female:,72940224,11266.72,5748.33,0.01
North Carolina,HD01_VD11,2013,Estimate; Female:,2364024,2244.77,1145.29,0.05
Durham ,HD01_VD11,2013,Estimate; Female:,49102,296.68,151.37,0.31
Forsyth ,HD01_VD11,2013,Estimate; Female:,81920,137.02,69.91,0.09
Guilford ,HD01_VD11,2013,Estimate; Female:,102915,320.51,163.53,0.16
United States,HD01_VD12,2013,Estimate; Female: - Less than 9th grade,1818722,25371.57,12944.68,0.71
North Carolina,HD01_VD12,2013,Estimate; Female: - Less than 9th grade,66933,5527.32,2820.06,4.21
Durham ,HD01_VD12,2013,Estimate; Female: - Less than 9th grade,200,224,114.29,57.15
Forsyth ,HD01_VD12,2013,Estimate; Female: - Less than 9th grade,1449,875.74,446.81,30.84
Guilford ,HD01_VD12,2013,Estimate; Female: - Less than 9th grade,1368,680.34,347.11,25.37
United States,HD01_VD13,2013,"Estimate; Female: - 9th to 12th grade, no diploma",3939524,36559.66,18652.89,0.47
North Carolina,HD01_VD13,2013,"Estimate; Female: - 9th to 12th grade, no diploma",151615,6806.98,3472.95,2.29
Durham ,HD01_VD13,2013,"Estimate; Female: - 9th to 12th grade, no diploma",1313,694.64,354.41,26.99
Forsyth ,HD01_VD13,2013,"Estimate; Female: - 9th to 12th grade, no diploma",3785,957.96,488.76,12.91
Guilford ,HD01_VD13,2013,"Estimate; Female: - 9th to 12th grade, no diploma",4705,1365.45,696.66,14.81
United States,HD01_VD14,2013,Estimate; Female: - Regular high school diploma,18136788,64083.06,32695.44,0.18
North Carolina,HD01_VD14,2013,Estimate; Female: - Regular high school diploma,517324,11626.55,5931.91,1.15
Durham ,HD01_VD14,2013,Estimate; Female: - Regular high school diploma,7171,1441.7,735.56,10.26
Forsyth ,HD01_VD14,2013,Estimate; Female: - Regular high school diploma,17499,1949.28,994.53,5.68
Guilford ,HD01_VD14,2013,Estimate; Female: - Regular high school diploma,21664,2372.26,1210.34,5.59
United States,HD01_VD15,2013,Estimate; Female: - GED or alternative credential,2534785,30504.51,15563.53,0.61
North Carolina,HD01_VD15,2013,Estimate; Female: - GED or alternative credential,97926,6436.43,3283.89,3.35
Durham ,HD01_VD15,2013,Estimate; Female: - GED or alternative credential,1064,575.49,293.62,27.6
Forsyth ,HD01_VD15,2013,Estimate; Female: - GED or alternative credential,3210,998.47,509.42,15.87
Guilford ,HD01_VD15,2013,Estimate; Female: - GED or alternative credential,2950,801.87,409.12,13.87
United States,HD01_VD16,2013,"Estimate; Female: - Some college, no degree",15844957,65443.74,33389.66,0.21
North Carolina,HD01_VD16,2013,"Estimate; Female: - Some college, no degree",523520,11964.94,6104.56,1.17
Durham ,HD01_VD16,2013,"Estimate; Female: - Some college, no degree",5982,1500.09,765.35,12.79
Forsyth ,HD01_VD16,2013,"Estimate; Female: - Some college, no degree",17109,2038.64,1040.12,6.08
Guilford ,HD01_VD16,2013,"Estimate; Female: - Some college, no degree",21091,2237.62,1141.64,5.41
United States,HD01_VD17,2013,Estimate; Female: - Associate's degree,6907803,41861.79,21358.06,0.31
North Carolina,HD01_VD17,2013,Estimate; Female: - Associate's degree,256112,8080.68,4122.8,1.61
Durham ,HD01_VD17,2013,Estimate; Female: - Associate's degree,2429,893.62,455.93,18.77
Forsyth ,HD01_VD17,2013,Estimate; Female: - Associate's degree,7608,1409.53,719.15,9.45
Guilford ,HD01_VD17,2013,Estimate; Female: - Associate's degree,8772,1401.19,714.89,8.15
United States,HD01_VD18,2013,Estimate; Female: - Bachelor's degree,14806976,67584.85,34482.07,0.23
North Carolina,HD01_VD18,2013,Estimate; Female: - Bachelor's degree,495438,11384.68,5808.51,1.17
Durham ,HD01_VD18,2013,Estimate; Female: - Bachelor's degree,17772,1981.45,1010.94,5.69
Forsyth ,HD01_VD18,2013,Estimate; Female: - Bachelor's degree,19744,1980.26,1010.34,5.12
Guilford ,HD01_VD18,2013,Estimate; Female: - Bachelor's degree,28913,2512.85,1282.07,4.43
United States,HD01_VD19,2013,Estimate; Female: - Graduate or professional degree,8950669,52269.45,26668.09,0.3
North Carolina,HD01_VD19,2013,Estimate; Female: - Graduate or professional degree,255156,8417.87,4294.83,1.68
Durham ,HD01_VD19,2013,Estimate; Female: - Graduate or professional degree,13171,1746.72,891.18,6.77
Forsyth ,HD01_VD19,2013,Estimate; Female: - Graduate or professional degree,11516,1575.15,803.65,6.98
Guilford ,HD01_VD19,2013,Estimate; Female: - Graduate or professional degree,13452,1715.74,875.38,6.51
United States,HD01_VD01,2014,Estimate; Total:,142031565,19329.53,9862.01,0.01
North Carolina,HD01_VD01,2014,Estimate; Total:,4566400,3519.66,1795.74,0.04
Durham ,HD01_VD01,2014,Estimate; Total:,95082,235.91,120.36,0.13
Forsyth ,HD01_VD01,2014,Estimate; Total:,154098,527.83,269.3,0.17
Guilford ,HD01_VD01,2014,Estimate; Total:,195157,991.32,505.78,0.26
United States,HD01_VD02,2014,Estimate; Male:,68853842,13055.15,6660.79,0.01
North Carolina,HD01_VD02,2014,Estimate; Male:,2181593,2204.26,1124.62,0.05
Durham ,HD01_VD02,2014,Estimate; Male:,44530,235.91,120.36,0.27
Forsyth ,HD01_VD02,2014,Estimate; Male:,71587,518.3,264.44,0.37
Guilford ,HD01_VD02,2014,Estimate; Male:,92011,623.15,317.93,0.35
United States,HD01_VD03,2014,Estimate; Male: - Less than 9th grade,1787689,27032.51,13792.1,0.77
North Carolina,HD01_VD03,2014,Estimate; Male: - Less than 9th grade,74090,5065.02,2584.19,3.49
Durham ,HD01_VD03,2014,Estimate; Male: - Less than 9th grade,751,583.83,297.87,39.66
Forsyth ,HD01_VD03,2014,Estimate; Male: - Less than 9th grade,1638,676.77,345.29,21.08
Guilford ,HD01_VD03,2014,Estimate; Male: - Less than 9th grade,1952,965.11,492.4,25.23
United States,HD01_VD04,2014,"Estimate; Male: - 9th to 12th grade, no diploma",4060191,42862.64,21868.69,0.54
North Carolina,HD01_VD04,2014,"Estimate; Male: - 9th to 12th grade, no diploma",165432,6610.38,3372.64,2.04
Durham ,HD01_VD04,2014,"Estimate; Male: - 9th to 12th grade, no diploma",524,350.3,178.72,34.11
Forsyth ,HD01_VD04,2014,"Estimate; Male: - 9th to 12th grade, no diploma",3630,867.4,442.55,12.19
Guilford ,HD01_VD04,2014,"Estimate; Male: - 9th to 12th grade, no diploma",3780,1102.13,562.31,14.88
United States,HD01_VD05,2014,Estimate; Male: - Regular high school diploma,16367783,80080,40857.14,0.25
North Carolina,HD01_VD05,2014,Estimate; Male: - Regular high school diploma,468815,10937.87,5580.55,1.19
Durham ,HD01_VD05,2014,Estimate; Male: - Regular high school diploma,5146,1486.98,758.66,14.74
Forsyth ,HD01_VD05,2014,Estimate; Male: - Regular high school diploma,14896,1924.26,981.77,6.59
Guilford ,HD01_VD05,2014,Estimate; Male: - Regular high school diploma,17616,2135.15,1089.36,6.18
United States,HD01_VD06,2014,Estimate; Male: - GED or alternative credential,3236872,30381.79,15500.91,0.48
North Carolina,HD01_VD06,2014,Estimate; Male: - GED or alternative credential,113159,6101.62,3113.07,2.75
Durham ,HD01_VD06,2014,Estimate; Male: - GED or alternative credential,2571,915.06,466.87,18.16
Forsyth ,HD01_VD06,2014,Estimate; Male: - GED or alternative credential,3663,1053.28,537.39,14.67
Guilford ,HD01_VD06,2014,Estimate; Male: - GED or alternative credential,2766,825.7,421.28,15.23
United States,HD01_VD07,2014,"Estimate; Male: - Some college, no degree",14632871,70947.23,36197.57,0.25
North Carolina,HD01_VD07,2014,"Estimate; Male: - Some college, no degree",471326,11640.85,5939.21,1.26
Durham ,HD01_VD07,2014,"Estimate; Male: - Some college, no degree",6690,1483.4,756.84,11.31
Forsyth ,HD01_VD07,2014,"Estimate; Male: - Some college, no degree",14286,1622.81,827.96,5.8
Guilford ,HD01_VD07,2014,"Estimate; Male: - Some college, no degree",18400,1703.83,869.3,4.72
United States,HD01_VD08,2014,Estimate; Male: - Associate's degree,5364447,38881.87,19837.69,0.37
North Carolina,HD01_VD08,2014,Estimate; Male: - Associate's degree,185561,8646.64,4411.55,2.38
Durham ,HD01_VD08,2014,Estimate; Male: - Associate's degree,2061,708.94,361.7,17.55
Forsyth ,HD01_VD08,2014,Estimate; Male: - Associate's degree,6523,1478.64,754.41,11.57
Guilford ,HD01_VD08,2014,Estimate; Male: - Associate's degree,8072,1734.81,885.11,10.97
United States,HD01_VD09,2014,Estimate; Male: - Bachelor's degree,14484848,70810.21,36127.66,0.25
North Carolina,HD01_VD09,2014,Estimate; Male: - Bachelor's degree,450901,11854.13,6048.03,1.34
Durham ,HD01_VD09,2014,Estimate; Male: - Bachelor's degree,13950,1705.02,869.91,6.24
Forsyth ,HD01_VD09,2014,Estimate; Male: - Bachelor's degree,15124,1534.64,782.98,5.18
Guilford ,HD01_VD09,2014,Estimate; Male: - Bachelor's degree,24861,2434.21,1241.94,5
United States,HD01_VD10,2014,Estimate; Male: - Graduate or professional degree,8919141,47402.21,24184.8,0.27
North Carolina,HD01_VD10,2014,Estimate; Male: - Graduate or professional degree,252309,7694.64,3925.84,1.56
Durham ,HD01_VD10,2014,Estimate; Male: - Graduate or professional degree,12837,1738.38,886.93,6.91
Forsyth ,HD01_VD10,2014,Estimate; Male: - Graduate or professional degree,11827,1684.77,859.58,7.27
Guilford ,HD01_VD10,2014,Estimate; Male: - Graduate or professional degree,14564,2275.74,1161.09,7.97
United States,HD01_VD11,2014,Estimate; Female:,73177723,12010.21,6127.66,0.01
North Carolina,HD01_VD11,2014,Estimate; Female:,2384807,2523.57,1287.54,0.05
Durham ,HD01_VD11,2014,Estimate; Female:,50552,235.91,120.36,0.24
Forsyth ,HD01_VD11,2014,Estimate; Female:,82511,126.3,64.44,0.08
Guilford ,HD01_VD11,2014,Estimate; Female:,103146,431.32,220.06,0.21
United States,HD01_VD12,2014,Estimate; Female: - Less than 9th grade,1722225,18678.98,9530.09,0.55
North Carolina,HD01_VD12,2014,Estimate; Female: - Less than 9th grade,59834,4715.91,2406.08,4.02
Durham ,HD01_VD12,2014,Estimate; Female: - Less than 9th grade,526,402.72,205.47,39.06
Forsyth ,HD01_VD12,2014,Estimate; Female: - Less than 9th grade,1652,726.81,370.82,22.45
Guilford ,HD01_VD12,2014,Estimate; Female: - Less than 9th grade,1261,567.15,289.36,22.95
United States,HD01_VD13,2014,"Estimate; Female: - 9th to 12th grade, no diploma",3782898,36839.66,18795.74,0.5
North Carolina,HD01_VD13,2014,"Estimate; Female: - 9th to 12th grade, no diploma",142851,6946.38,3544.07,2.48
Durham ,HD01_VD13,2014,"Estimate; Female: - 9th to 12th grade, no diploma",635,400.34,204.26,32.17
Forsyth ,HD01_VD13,2014,"Estimate; Female: - 9th to 12th grade, no diploma",4381,1040.17,530.7,12.11
Guilford ,HD01_VD13,2014,"Estimate; Female: - 9th to 12th grade, no diploma",3411,934.13,476.6,13.97
United States,HD01_VD14,2014,Estimate; Female: - Regular high school diploma,17901131,64110.47,32709.42,0.18
North Carolina,HD01_VD14,2014,Estimate; Female: - Regular high school diploma,506514,11483.57,5858.96,1.16
Durham ,HD01_VD14,2014,Estimate; Female: - Regular high school diploma,5443,1395.23,711.85,13.08
Forsyth ,HD01_VD14,2014,Estimate; Female: - Regular high school diploma,17965,1865.87,951.97,5.3
Guilford ,HD01_VD14,2014,Estimate; Female: - Regular high school diploma,22636,2852.43,1455.32,6.43
United States,HD01_VD15,2014,Estimate; Female: - GED or alternative credential,2524917,28969.87,14780.55,0.59
North Carolina,HD01_VD15,2014,Estimate; Female: - GED or alternative credential,98922,6053.96,3088.76,3.12
Durham ,HD01_VD15,2014,Estimate; Female: - GED or alternative credential,1139,587.4,299.69,26.31
Forsyth ,HD01_VD15,2014,Estimate; Female: - GED or alternative credential,3215,1040.17,530.7,16.51
Guilford ,HD01_VD15,2014,Estimate; Female: - GED or alternative credential,2815,1006.81,513.68,18.25
United States,HD01_VD16,2014,"Estimate; Female: - Some college, no degree",15852705,67721.87,34551.97,0.22
North Carolina,HD01_VD16,2014,"Estimate; Female: - Some college, no degree",533694,12034.04,6139.82,1.15
Durham ,HD01_VD16,2014,"Estimate; Female: - Some college, no degree",7887,1539.4,785.41,9.96
Forsyth ,HD01_VD16,2014,"Estimate; Female: - Some college, no degree",15433,1895.66,967.17,6.27
Guilford ,HD01_VD16,2014,"Estimate; Female: - Some college, no degree",21258,2408,1228.57,5.78
United States,HD01_VD17,2014,Estimate; Female: - Associate's degree,7027724,51620.09,26336.78,0.37
North Carolina,HD01_VD17,2014,Estimate; Female: - Associate's degree,271707,9419.91,4806.08,1.77
Durham ,HD01_VD17,2014,Estimate; Female: - Associate's degree,3594,1214.13,619.45,17.24
Forsyth ,HD01_VD17,2014,Estimate; Female: - Associate's degree,8610,1662.13,848.03,9.85
Guilford ,HD01_VD17,2014,Estimate; Female: - Associate's degree,9950,1562.04,796.96,8.01
United States,HD01_VD18,2014,Estimate; Female: - Bachelor's degree,15080708,59525.62,30370.21,0.2
North Carolina,HD01_VD18,2014,Estimate; Female: - Bachelor's degree,506860,11034.38,5629.79,1.11
Durham ,HD01_VD18,2014,Estimate; Female: - Bachelor's degree,15194,1930.21,984.8,6.48
Forsyth ,HD01_VD18,2014,Estimate; Female: - Bachelor's degree,20589,2307.91,1177.51,5.72
Guilford ,HD01_VD18,2014,Estimate; Female: - Bachelor's degree,27204,2840.51,1449.24,5.33
United States,HD01_VD19,2014,Estimate; Female: - Graduate or professional degree,9285415,52579.23,26826.14,0.29
North Carolina,HD01_VD19,2014,Estimate; Female: - Graduate or professional degree,264425,7884.09,4022.49,1.52
Durham ,HD01_VD19,2014,Estimate; Female: - Graduate or professional degree,16134,2038.64,1040.12,6.45
Forsyth ,HD01_VD19,2014,Estimate; Female: - Graduate or professional degree,10666,1535.83,783.59,7.35
Guilford ,HD01_VD19,2014,Estimate; Female: - Graduate or professional degree,14611,2035.06,1038.3,7.11
United States,HD01_VD01,2015,Estimate; Total:,142711173,21434.89,10936.17,0.01
North Carolina,HD01_VD01,2015,Estimate; Total:,4607089,4689.7,2392.7,0.05
Durham ,HD01_VD01,2015,Estimate; Total:,97635,383.66,195.74,0.2
