geo_description,label,year,description,estimate,moe,se,cv
North Carolina,HD01_VD19,2006,Estimate; Female:,3058710,6145.7,3135.56,0.1
Durham ,HD01_VD19,2006,Estimate; Female:,84832,512.34,261.4,0.31
Forsyth ,HD01_VD19,2006,Estimate; Female:,117383,606.47,309.42,0.26
Guilford ,HD01_VD19,2006,Estimate; Female:,156335,1043.74,532.52,0.34
United States,HD01_VD20,2006,Estimate; Female: - No schooling completed,932349,15445.28,7880.24,0.85
North Carolina,HD01_VD20,2006,Estimate; Female: - No schooling completed,19600,2659.4,1356.84,6.92
Durham ,HD01_VD20,2006,Estimate; Female: - No schooling completed,585,560,285.71,48.84
Forsyth ,HD01_VD20,2006,Estimate; Female: - No schooling completed,587,648.17,330.7,56.34
Guilford ,HD01_VD20,2006,Estimate; Female: - No schooling completed,758,523.06,266.87,35.21
United States,HD01_VD21,2006,Estimate; Female: - Nursery to 4th grade,858321,18071.32,9220.06,1.07
North Carolina,HD01_VD21,2006,Estimate; Female: - Nursery to 4th grade,17250,2294.81,1170.82,6.79
Durham ,HD01_VD21,2006,Estimate; Female: - Nursery to 4th grade,668,607.66,310.03,46.41
Forsyth ,HD01_VD21,2006,Estimate; Female: - Nursery to 4th grade,260,328.85,167.78,64.53
Guilford ,HD01_VD21,2006,Estimate; Female: - Nursery to 4th grade,360,366.98,187.23,52.01
United States,HD01_VD22,2006,Estimate; Female: - 5th and 6th grade,1846766,29307.06,14952.58,0.81
North Carolina,HD01_VD22,2006,Estimate; Female: - 5th and 6th grade,50094,3806.81,1942.25,3.88
Durham ,HD01_VD22,2006,Estimate; Female: - 5th and 6th grade,1926,769.7,392.7,20.39
Forsyth ,HD01_VD22,2006,Estimate; Female: - 5th and 6th grade,1573,673.19,343.46,21.83
Guilford ,HD01_VD22,2006,Estimate; Female: - 5th and 6th grade,2776,1062.81,542.25,19.53
United States,HD01_VD23,2006,Estimate; Female: - 7th and 8th grade,2767149,31675.74,16161.09,0.58
North Carolina,HD01_VD23,2006,Estimate; Female: - 7th and 8th grade,92486,6237.45,3182.37,3.44
Durham ,HD01_VD23,2006,Estimate; Female: - 7th and 8th grade,1504,753.02,384.19,25.54
Forsyth ,HD01_VD23,2006,Estimate; Female: - 7th and 8th grade,3257,1021.11,520.97,16
