geo_description,label,year,description,estimate,moe,se,cv
North Carolina,HD01_VD26,2006,Estimate; Female:,4513027,7159.66,3652.89,0.08
Durham ,HD01_VD26,2006,Estimate; Female:,126721,750.64,382.98,0.3
Forsyth ,HD01_VD26,2006,Estimate; Female:,172656,580.26,296.05,0.17
Guilford ,HD01_VD26,2006,Estimate; Female:,233586,775.66,395.74,0.17
United States,HD01_VD27,2006,Estimate; Female: - Under 5 years,9963885,16074.38,8201.21,0.08
North Carolina,HD01_VD27,2006,Estimate; Female: - Under 5 years,295041,5061.45,2582.37,0.88
Durham ,HD01_VD27,2006,Estimate; Female: - Under 5 years,9452,338.38,172.64,1.83
Forsyth ,HD01_VD27,2006,Estimate; Female: - Under 5 years,11466,163.23,83.28,0.73
Guilford ,HD01_VD27,2006,Estimate; Female: - Under 5 years,14333,324.09,165.35,1.15
United States,HD01_VD28,2006,Estimate; Female: - 5 to 9 years,9650399,43360.68,22122.8,0.23
North Carolina,HD01_VD28,2006,Estimate; Female: - 5 to 9 years,275592,7664.85,3910.64,1.42
Durham ,HD01_VD28,2006,Estimate; Female: - 5 to 9 years,8486,1701.45,868.09,10.23
Forsyth ,HD01_VD28,2006,Estimate; Female: - 5 to 9 years,10041,1234.38,629.79,6.27
Guilford ,HD01_VD28,2006,Estimate; Female: - 5 to 9 years,13537,1427.4,728.27,5.38
United States,HD01_VD29,2006,Estimate; Female: - 10 to 14 years,10090811,43019.91,21948.93,0.22
North Carolina,HD01_VD29,2006,Estimate; Female: - 10 to 14 years,294824,7291.91,3720.36,1.26
Durham ,HD01_VD29,2006,Estimate; Female: - 10 to 14 years,7147,1625.19,829.18,11.6
Forsyth ,HD01_VD29,2006,Estimate; Female: - 10 to 14 years,11505,1209.36,617.02,5.36
Guilford ,HD01_VD29,2006,Estimate; Female: - 10 to 14 years,15003,1434.55,731.91,4.88
United States,HD01_VD30,2006,Estimate; Female: - 15 to 17 years,6311093,14449.19,7372.04,0.12
North Carolina,HD01_VD30,2006,Estimate; Female: - 15 to 17 years,178781,4009.36,2045.59,1.14
Durham ,HD01_VD30,2006,Estimate; Female: - 15 to 17 years,4076,193.02,98.48,2.42
Forsyth ,HD01_VD30,2006,Estimate; Female: - 15 to 17 years,6550,70.3,35.87,0.55
Guilford ,HD01_VD30,2006,Estimate; Female: - 15 to 17 years,9108,376.51,192.1,2.11
United States,HD01_VD31,2006,Estimate; Female: - 18 and 19 years,4240279,21183.49,10807.9,0.25
North Carolina,HD01_VD31,2006,Estimate; Female: - 18 and 19 years,121782,4832.68,2465.65,2.02
Durham ,HD01_VD31,2006,Estimate; Female: - 18 and 19 years,3669,592.17,302.13,8.23
Forsyth ,HD01_VD31,2006,Estimate; Female: - 18 and 19 years,4734,249.02,127.05,2.68
Guilford ,HD01_VD31,2006,Estimate; Female: - 18 and 19 years,8591,482.55,246.2,2.87
United States,HD01_VD32,2006,Estimate; Female: - 20 years,2186070,27397.11,13978.12,0.64
North Carolina,HD01_VD32,2006,Estimate; Female: - 20 years,63264,5285.45,2696.66,4.26
Durham ,HD01_VD32,2006,Estimate; Female: - 20 years,1596,656.51,334.95,20.99
Forsyth ,HD01_VD32,2006,Estimate; Female: - 20 years,2002,962.72,491.18,24.53
Guilford ,HD01_VD32,2006,Estimate; Female: - 20 years,4317,1271.32,648.63,15.03
United States,HD01_VD33,2006,Estimate; Female: - 21 years,2099728,30914.38,15772.64,0.75
North Carolina,HD01_VD33,2006,Estimate; Female: - 21 years,57997,4288.17,2187.84,3.77
Durham ,HD01_VD33,2006,Estimate; Female: - 21 years,2412,887.66,452.89,18.78
Forsyth ,HD01_VD33,2006,Estimate; Female: - 21 years,1835,661.28,337.39,18.39
Guilford ,HD01_VD33,2006,Estimate; Female: - 21 years,2929,947.23,483.28,16.5
United States,HD01_VD34,2006,Estimate; Female: - 22 to 24 years,5848397,37878.64,19325.84,0.33
North Carolina,HD01_VD34,2006,Estimate; Female: - 22 to 24 years,167036,7114.38,3629.79,2.17
Durham ,HD01_VD34,2006,Estimate; Female: - 22 to 24 years,5051,1027.06,524.01,10.37
Forsyth ,HD01_VD34,2006,Estimate; Female: - 22 to 24 years,7140,1109.28,565.96,7.93
Guilford ,HD01_VD34,2006,Estimate; Female: - 22 to 24 years,9433,1587.06,809.72,8.58
United States,HD01_VD35,2006,Estimate; Female: - 25 to 29 years,9976440,21352.68,10894.22,0.11
North Carolina,HD01_VD35,2006,Estimate; Female: - 25 to 29 years,293698,5019.74,2561.09,0.87
Durham ,HD01_VD35,2006,Estimate; Female: - 25 to 29 years,9169,327.66,167.17,1.82
Forsyth ,HD01_VD35,2006,Estimate; Female: - 25 to 29 years,10580,263.32,134.35,1.27
Guilford ,HD01_VD35,2006,Estimate; Female: - 25 to 29 years,13198,492.09,251.07,1.9
United States,HD01_VD36,2006,Estimate; Female: - 30 to 34 years,9679647,17038.3,8693.01,0.09
North Carolina,HD01_VD36,2006,Estimate; Female: - 30 to 34 years,302320,4325.11,2206.69,0.73
Durham ,HD01_VD36,2006,Estimate; Female: - 30 to 34 years,10596,4.77,2.43,0.02
Forsyth ,HD01_VD36,2006,Estimate; Female: - 30 to 34 years,11277,332.43,169.61,1.5
Guilford ,HD01_VD36,2006,Estimate; Female: - 30 to 34 years,15761,509.96,260.18,1.65
United States,HD01_VD37,2006,Estimate; Female: - 35 to 39 years,10559537,44881.02,22898.48,0.22
North Carolina,HD01_VD37,2006,Estimate; Female: - 35 to 39 years,315541,7773.28,3965.96,1.26
Durham ,HD01_VD37,2006,Estimate; Female: - 35 to 39 years,8908,1417.87,723.4,8.12
Forsyth ,HD01_VD37,2006,Estimate; Female: - 35 to 39 years,12524,1441.7,735.56,5.87
Guilford ,HD01_VD37,2006,Estimate; Female: - 35 to 39 years,15015,1778.89,907.6,6.04
United States,HD01_VD38,2006,Estimate; Female: - 40 to 44 years,11384220,43834.89,22364.74,0.2
North Carolina,HD01_VD38,2006,Estimate; Female: - 40 to 44 years,354056,8868.26,4524.62,1.28
Durham ,HD01_VD38,2006,Estimate; Female: - 40 to 44 years,11528,1353.53,690.58,5.99
Forsyth ,HD01_VD38,2006,Estimate; Female: - 40 to 44 years,13034,1476.26,753.19,5.78
Guilford ,HD01_VD38,2006,Estimate; Female: - 40 to 44 years,19660,1857.53,947.72,4.82
United States,HD01_VD39,2006,Estimate; Female: - 45 to 49 years,11554415,15492.94,7904.56,0.07
North Carolina,HD01_VD39,2006,Estimate; Female: - 45 to 49 years,338703,4071.32,2077.2,0.61
Durham ,HD01_VD39,2006,Estimate; Female: - 45 to 49 years,9456,629.11,320.97,3.39
Forsyth ,HD01_VD39,2006,Estimate; Female: - 45 to 49 years,12741,229.96,117.33,0.92
Guilford ,HD01_VD39,2006,Estimate; Female: - 45 to 49 years,17904,618.38,315.5,1.76
United States,HD01_VD40,2006,Estimate; Female: - 50 to 54 years,10449742,14817.36,7559.88,0.07
North Carolina,HD01_VD40,2006,Estimate; Female: - 50 to 54 years,310824,3182.47,1623.71,0.52
Durham ,HD01_VD40,2006,Estimate; Female: - 50 to 54 years,8465,511.15,260.79,3.08
Forsyth ,HD01_VD40,2006,Estimate; Female: - 50 to 54 years,12746,612.43,312.46,2.45
Guilford ,HD01_VD40,2006,Estimate; Female: - 50 to 54 years,16458,532.6,271.73,1.65
United States,HD01_VD41,2006,Estimate; Female: - 55 to 59 years,9286365,35008.34,17861.4,0.19
North Carolina,HD01_VD41,2006,Estimate; Female: - 55 to 59 years,286222,5800.17,2959.27,1.03
Durham ,HD01_VD41,2006,Estimate; Female: - 55 to 59 years,6175,1150.98,587.23,9.51
Forsyth ,HD01_VD41,2006,Estimate; Female: - 55 to 59 years,11687,1097.36,559.88,4.79
Guilford ,HD01_VD41,2006,Estimate; Female: - 55 to 59 years,15564,1590.64,811.55,5.21
United States,HD01_VD42,2006,Estimate; Female: - 60 and 61 years,2918530,26134.13,13333.74,0.46
North Carolina,HD01_VD42,2006,Estimate; Female: - 60 and 61 years,97418,4718.3,2407.3,2.47
Durham ,HD01_VD42,2006,Estimate; Female: - 60 and 61 years,2876,1008,514.29,17.88
Forsyth ,HD01_VD42,2006,Estimate; Female: - 60 and 61 years,3543,876.94,447.42,12.63
Guilford ,HD01_VD42,2006,Estimate; Female: - 60 and 61 years,4969,1131.91,577.51,11.62
United States,HD01_VD43,2006,Estimate; Female: - 62 to 64 years,4179658,31369.53,16004.86,0.38
North Carolina,HD01_VD43,2006,Estimate; Female: - 62 to 64 years,127525,5800.17,2959.27,2.32
Durham ,HD01_VD43,2006,Estimate; Female: - 62 to 64 years,3532,1038.98,530.09,15.01
Forsyth ,HD01_VD43,2006,Estimate; Female: - 62 to 64 years,3998,959.15,489.36,12.24
Guilford ,HD01_VD43,2006,Estimate; Female: - 62 to 64 years,5886,1215.32,620.06,10.53
United States,HD01_VD44,2006,Estimate; Female: - 65 and 66 years,2382333,24837.79,12672.34,0.53
North Carolina,HD01_VD44,2006,Estimate; Female: - 65 and 66 years,73876,3703.15,1889.36,2.56
Durham ,HD01_VD44,2006,Estimate; Female: - 65 and 66 years,2086,596.94,304.56,14.6
Forsyth ,HD01_VD44,2006,Estimate; Female: - 65 and 66 years,2861,830.47,423.71,14.81
Guilford ,HD01_VD44,2006,Estimate; Female: - 65 and 66 years,3217,770.89,393.31,12.23
United States,HD01_VD45,2006,Estimate; Female: - 67 to 69 years,3146519,25211.91,12863.22,0.41
North Carolina,HD01_VD45,2006,Estimate; Female: - 67 to 69 years,97412,4354.89,2221.88,2.28
Durham ,HD01_VD45,2006,Estimate; Female: - 67 to 69 years,2394,756.6,386.02,16.12
Forsyth ,HD01_VD45,2006,Estimate; Female: - 67 to 69 years,3984,791.15,403.65,10.13
Guilford ,HD01_VD45,2006,Estimate; Female: - 67 to 69 years,4684,907.91,463.22,9.89
United States,HD01_VD46,2006,Estimate; Female: - 70 to 74 years,4730629,25404.94,12961.7,0.27
