NAME,"Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina",North Carolina,United States
Pct_Assoc_p6599AA14,0.4760477,0.3315962,0.3184702,0.2956194,0.3021427
Pct_Assoc_p6599AA14_SE,0.030013213,0.019750355,0.017606424,0.003772787,0.000661553
Pop2599AA13,193326,238654,333468,6568110,210910615
Pop2599AA13_SE,264.4377,573.2523,317.9331,4334.9544,42887.538
Pop2599MA13,90904,110147,154690,3110101,101763080
Pop2599MA13_SE,345.2888,559.8784,178.7234,3665.6535,25926.4438
Pop2599FA13,102422,128507,178778,3458009,109147535
Pop2599FA13_SE,441.9453,279.0274,278.4195,3098.4802,22051.6717
Assoc_p2599MA13,46963,43908,63386,1100003,37368981
Assoc_p2599MA13_SE,2007.68,1821.1,2198.102,10164.69,58810.838
Assoc_p2599FA13,54634,53301,77224,1339711,42103774
Assoc_p2599FA13_SE,1986.62,1922.484,2239.188,9539.509,65303.899
Assoc_p2599AA13,101597,97209,140610,2439714,79472755
Assoc_p2599AA13_SE,2824.437,2648.084,3137.772,13939.984,87882.387
Pct_Assoc_p2599AA13,0.5255217,0.4073219,0.4216596,0.3714484,0.3768078
Pct_Assoc_p2599AA13_SE,0.014627382,0.011138964,0.0094181,0.002136486,0.000423667
Pct_Assoc_p2599MA13,0.5166219,0.3986309,0.4097615,0.3536872,0.3672155
Pct_Assoc_p2599MA13_SE,0.022172728,0.016657056,0.014217609,0.003294761,0.000585443
Pct_Assoc_p2599FA13,0.5334206,0.4147712,0.4319547,0.3874226,0.385751
Pct_Assoc_p2599FA13_SE,0.019532511,0.014987233,0.012543016,0.002780427,0.000603363
Pop2599AW13,92566,153339,194990,4524330,141478073
Pop2599AW13_SE,151.36778,69.90881,344.07295,1720.36474,9830.39514
Assoc_p2599AW13,62477,74418,98744,1884498,58983847
Assoc_p2599AW13_SE,2002.087,2119.751,2401.656,11868.372,66852.187
Pct_Assoc_p2599AW13,0.6749454,0.4853168,0.5064055,0.4165253,0.4169116
Pct_Assoc_p2599AW13_SE,0.021656895,0.013825723,0.012349191,0.00262801,0.000473414
Pop2599AB13,68746,57609,103138,1332148,24615101
Pop2599AB13_SE,516.1094,484.4985,1065.6535,3888.7538,21242.5532
