subtype,cntyname,estimate,se,type,year,estimate_adj,se_adj,moe_adj,cv_adj
2,Durham,15.196078431372548,0.6432157114366487,RAC1P,2010,17.08,0.57,1.12,3.34
2,Forsyth,14.362745098039216,0.23924398135139288,RAC1P,2010,16.15,0.21,0.41,1.3
2,Guilford,14.264705882352942,0.34217880390413824,RAC1P,2010,16.03,0.3,0.59,1.87
3,Durham,9.803921568627452,0.6908786234586208,RAC1P,2010,11.02,0.61,1.2,5.54
3,Forsyth,10.919540229885058,0.4993250961609845,RAC1P,2010,12.27,0.44,0.86,3.59
3,Guilford,11.666666666666666,1.2987109649219006,RAC1P,2010,13.11,1.16,2.27,8.85
4,Durham,19.607843137254903,4.5668177401679655,RAC1P,2010,22.04,4.06,7.96,18.42
4,Forsyth,19.412515964240104,15.583886416039782,RAC1P,2010,21.82,13.86,27.17,63.52
4,Guilford,15.250544662309368,1.6548167177149342,RAC1P,2010,17.14,1.47,2.88,8.58
100,Durham,18.137254901960784,0.18589584263098402,total,2010,20.39,0.17,0.33,0.83
100,Forsyth,16.091954022988507,0.26924553602328083,total,2010,18.09,0.24,0.47,1.33
100,Guilford,15.873015873015873,0.16324142166155764,total,2010,17.84,0.15,0.29,0.84
24,Durham,8.814432989690722,0.11416500321248849,AGEP,2011,9.61,0.1,0.2,1.04
24,Forsyth,8.620689655172415,0.3007038940283382,AGEP,2011,9.4,0.28,0.55,2.98
24,Guilford,8.49673202614379,0.24027572658274166,AGEP,2011,9.26,0.22,0.43,2.38
44,Durham,16.176470588235293,1.4972920046802047,AGEP,2011,17.63,1.37,2.69,7.77
44,Forsyth,14.297385620915033,0.2734906595830357,AGEP,2011,15.58,0.25,0.49,1.6
44,Guilford,15.686274509803921,0.36054078898726377,AGEP,2011,17.1,0.33,0.65,1.93
64,Durham,21.455938697318008,0.39408949784878966,AGEP,2011,23.38,0.36,0.71,1.54
64,Forsyth,20.424836601307188,0.6979934319497056,AGEP,2011,22.26,0.64,1.25,2.88
64,Guilford,19.607843137254903,0.5843708525284929,AGEP,2011,21.37,0.54,1.06,2.53
1,Durham,18.38235294117647,2.413445486231942,SEX,2011,20.03,2.21,4.33,11.03
1,Forsyth,17.352941176470587,0.3316376018823486,SEX,2011,18.91,0.3,0.59,1.59
1,Guilford,16.176470588235293,0.526833904929208,SEX,2011,17.63,0.48,0.94,2.72
2,Durham,17.647058823529413,0.5785883408887539,SEX,2011,19.23,0.53,1.04,2.76
2,Forsyth,14.705882352941176,0.24962792958688285,SEX,2011,16.03,0.23,0.45,1.43
2,Guilford,15.294117647058824,0.3399348512586414,SEX,2011,16.67,0.31,0.61,1.86
1,Durham,21.49019607843137,0.5283766584580748,RAC1P,2011,23.42,0.48,0.94,2.05
1,Forsyth,19.607843137254903,0.07376899933466154,RAC1P,2011,21.37,0.07,0.14,0.33
1,Guilford,19.031141868512112,0.824455513863123,RAC1P,2011,20.74,0.76,1.49,3.66
2,Durham,14.705882352941176,0.16488791473984787,RAC1P,2011,16.03,0.15,0.29,0.94
2,Forsyth,11.764705882352942,0.6148092953451644,RAC1P,2011,12.82,0.56,1.1,4.37
2,Guilford,14.705882352941176,0.4167944410879814,RAC1P,2011,16.03,0.38,0.74,2.37
3,Durham,10,0.7810288407758468,RAC1P,2011,10.9,0.72,1.41,6.61
3,Forsyth,9.313725490196079,0.4008608911252683,RAC1P,2011,10.15,0.37,0.73,3.65
3,Guilford,9.803921568627452,1.7358572604280593,RAC1P,2011,10.69,1.59,3.12,14.87
4,Durham,22.058823529411764,10.894992913809622,RAC1P,2011,24.04,10,19.6,41.6
4,Forsyth,21.568627450980394,5.991744797474147,RAC1P,2011,23.51,5.5,10.78,23.39
4,Guilford,11.27450980392157,1.0525861085327166,RAC1P,2011,12.29,0.97,1.9,7.89
100,Durham,17.892156862745097,0.8892019756240421,total,2011,19.5,0.82,1.61,4.21
100,Forsyth,15.686274509803921,0.15766545115759412,total,2011,17.1,0.14,0.27,0.82
100,Guilford,15.686274509803921,0.12683420443112914,total,2011,17.1,0.12,0.24,0.7
24,Durham,9.803921568627452,2.213218032371267,AGEP,2012,10.47,2.07,4.06,19.77
24,Forsyth,8.080808080808081,1.1722868664101367,AGEP,2012,8.63,1.1,2.16,12.75
24,Guilford,9.803921568627452,0.4490593453321487,AGEP,2012,10.47,0.42,0.82,4.01
44,Durham,17.352941176470587,0.43488687338369686,AGEP,2012,18.53,0.41,0.8,2.21
44,Forsyth,14.814814814814815,0.47773194741354746,AGEP,2012,15.82,0.45,0.88,2.84
44,Guilford,15.931372549019608,0.24563602142014804,AGEP,2012,17.01,0.23,0.45,1.35
64,Durham,22.5974025974026,0.4638393581385435,AGEP,2012,24.13,0.43,0.84,1.78
64,Forsyth,18.92156862745098,0.8292890159735917,AGEP,2012,20.2,0.78,1.53,3.86
64,Guilford,19.11764705882353,0.7797384323597093,AGEP,2012,20.41,0.73,1.43,3.58
1,Durham,17.647058823529413,0.901465327156188,SEX,2012,18.84,0.84,1.65,4.46
1,Forsyth,17.647058823529413,0.4505939746382387,SEX,2012,18.84,0.42,0.82,2.23
1,Guilford,17.496318114874814,0.4092668351780569,SEX,2012,18.68,0.38,0.74,2.03
2,Durham,19.607843137254903,0.45721054071465483,SEX,2012,20.94,0.43,0.84,2.05
2,Forsyth,14.705882352941176,0.2770763760259472,SEX,2012,15.7,0.26,0.51,1.66
2,Guilford,15.151515151515152,0.3556238540710326,SEX,2012,16.18,0.33,0.65,2.04
1,Durham,21.568627450980394,0.46391047667191354,RAC1P,2012,23.03,0.43,0.84,1.87
1,Forsyth,18.736383442265794,0.19020523618775384,RAC1P,2012,20.01,0.18,0.35,0.9
1,Guilford,19.019607843137255,0.5458509190754776,RAC1P,2012,20.31,0.51,1,2.51
2,Durham,16.176470588235293,1.3135240093471818,RAC1P,2012,17.27,1.23,2.41,7.12
2,Forsyth,12.254901960784315,0.6043618359940709,RAC1P,2012,13.09,0.57,1.12,4.35
2,Guilford,14.215686274509803,0.5521528311059275,RAC1P,2012,15.18,0.52,1.02,3.43
3,Durham,10.909090909090908,2.439192487297615,RAC1P,2012,11.65,2.28,4.47,19.57
3,Forsyth,9.090909090909092,0.2642883291755318,RAC1P,2012,9.71,0.25,0.49,2.57
3,Guilford,9.803921568627452,0.42062269949792297,RAC1P,2012,10.47,0.39,0.76,3.72
4,Durham,20.58823529411765,12.516054005142301,RAC1P,2012,21.98,11.72,22.97,53.32
4,Forsyth,14.524328249818446,41.51774684961783,RAC1P,2012,15.51,38.88,76.2,250.68
4,Guilford,12.745098039215685,5.008695062811213,RAC1P,2012,13.61,4.69,9.19,34.46
100,Durham,18.92156862745098,0.5108361483831076,total,2012,20.2,0.48,0.94,2.38
100,Forsyth,15.709376534118801,0.3081476695186976,total,2012,16.77,0.29,0.57,1.73
100,Guilford,16.176470588235293,0.20088747040445232,total,2012,17.27,0.19,0.37,1.1
24,Durham,8.403361344537815,0.9839066648203701,AGEP,2013,8.84,0.93,1.82,10.52
24,Forsyth,7.450980392156863,1.026618871645248,AGEP,2013,7.84,0.98,1.92,12.5
24,Guilford,9.803921568627452,0.6552617824586543,AGEP,2013,10.32,0.62,1.22,6.01
44,Durham,17.864923747276688,0.5921623766556704,AGEP,2013,18.8,0.56,1.1,2.98
44,Forsyth,16.07843137254902,0.8894036559542994,AGEP,2013,16.92,0.85,1.67,5.02
