GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Householder 15 to 24 years,Margin of Error; Owner occupied: - Householder 15 to 24 years,Estimate; Owner occupied: - Householder 25 to 34 years,Margin of Error; Owner occupied: - Householder 25 to 34 years,Estimate; Owner occupied: - Householder 35 to 44 years,Margin of Error; Owner occupied: - Householder 35 to 44 years,Estimate; Owner occupied: - Householder 45 to 54 years,Margin of Error; Owner occupied: - Householder 45 to 54 years,Estimate; Owner occupied: - Householder 55 to 59 years,Margin of Error; Owner occupied: - Householder 55 to 59 years,Estimate; Owner occupied: - Householder 60 to 64 years,Margin of Error; Owner occupied: - Householder 60 to 64 years,Estimate; Owner occupied: - Householder 65 to 74 years,Margin of Error; Owner occupied: - Householder 65 to 74 years,Estimate; Owner occupied: - Householder 75 to 84 years,Margin of Error; Owner occupied: - Householder 75 to 84 years,Estimate; Owner occupied: - Householder 85 years and over,Margin of Error; Owner occupied: - Householder 85 years and over,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Householder 15 to 24 years,Margin of Error; Renter occupied: - Householder 15 to 24 years,Estimate; Renter occupied: - Householder 25 to 34 years,Margin of Error; Renter occupied: - Householder 25 to 34 years,Estimate; Renter occupied: - Householder 35 to 44 years,Margin of Error; Renter occupied: - Householder 35 to 44 years,Estimate; Renter occupied: - Householder 45 to 54 years,Margin of Error; Renter occupied: - Householder 45 to 54 years,Estimate; Renter occupied: - Householder 55 to 59 years,Margin of Error; Renter occupied: - Householder 55 to 59 years,Estimate; Renter occupied: - Householder 60 to 64 years,Margin of Error; Renter occupied: - Householder 60 to 64 years,Estimate; Renter occupied: - Householder 65 to 74 years,Margin of Error; Renter occupied: - Householder 65 to 74 years,Estimate; Renter occupied: - Householder 75 to 84 years,Margin of Error; Renter occupied: - Householder 75 to 84 years,Estimate; Renter occupied: - Householder 85 years and over,Margin of Error; Renter occupied: - Householder 85 years and over
0500000US37135,37135,"Orange County, North Carolina",48522,1492,29110,1411,662,551,2222,609,6538,850,7714,888,3546,672,3040,603,3368,585,1819,473,201,186,19412,1752,5917,1193,6239,1111,2087,866,2094,711,933,381,356,303,701,472,662,364,423,268
0500000US37147,37147,"Pitt County, North Carolina",62232,1868,35246,1765,1288,674,5879,993,7358,1048,7861,1046,3895,756,2809,780,3727,465,1646,518,783,454,26986,2203,8578,1425,6769,1054,4023,915,2823,863,929,489,889,535,1128,400,1127,476,720,495
0500000US37151,37151,"Randolph County, North Carolina",53742,1452,39576,1889,371,254,4825,1125,7715,1016,9296,846,3545,650,4413,768,5183,791,3218,597,1010,347,14166,1865,1299,549,4913,1293,2599,808,2085,928,854,450,540,325,917,454,796,476,163,136
0500000US37155,37155,"Robeson County, North Carolina",42811,1306,28135,1787,418,280,3584,968,5493,1132,5353,785,3588,699,2795,683,4126,531,2184,773,594,413,14676,1860,1748,607,4229,1289,2949,990,2149,654,981,560,836,516,617,241,963,486,204,250
0500000US37157,37157,"Rockingham County, North Carolina",37089,1549,25378,1602,293,202,3559,743,4238,1060,5304,832,2711,684,2502,574,3672,681,2647,430,452,229,11711,1629,559,343,2434,798,2605,819,2283,739,884,551,885,473,1146,585,697,368,218,162
0500000US37159,37159,"Rowan County, North Carolina",51268,1591,36629,1749,256,211,3078,723,7413,897,8187,815,3634,667,3810,647,4892,583,4175,666,1184,467,14639,1764,1627,566,4540,1219,2961,1014,2278,750,809,325,426,229,810,410,714,397,474,397
0500000US37171,37171,"Surry County, North Carolina",27662,1220,19970,1213,62,76,1703,549,3190,685,4784,703,2289,676,2308,634,3103,621,1536,504,995,483,7692,1320,702,462,1838,680,1856,833,898,429,347,251,144,179,1104,468,803,499,0,281
0500000US37179,37179,"Union County, North Carolina",60768,1112,47987,2053,189,202,9300,1165,11317,1169,11112,848,4339,840,3903,799,4839,485,2382,406,606,357,12781,1731,2195,723,3587,1266,3271,999,2010,619,638,470,443,379,310,207,268,206,59,95
0500000US37183,37183,"Wake County, North Carolina",294821,3300,194887,3591,1476,626,28562,1921,48249,2006,52742,2304,21222,1918,16123,1574,16963,1156,8026,968,1524,483,99934,3936,13327,1655,31941,2581,23369,2225,14429,2032,5863,1334,2950,956,3357,841,3194,638,1504,571
0500000US37191,37191,"Wayne County, North Carolina",43813,1243,29074,1412,303,223,3336,707,5531,879,6809,737,3107,624,2545,525,4320,420,2628,426,495,195,14739,1214,1612,450,3830,687,3643,844,2093,473,1020,317,900,296,914,274,476,253,251,161
0500000US37193,37193,"Wilkes County, North Carolina",25748,1214,19812,1368,163,165,2007,575,4091,830,3534,499,2346,584,2402,661,3165,445,1743,422,361,226,5936,1112,556,339,1967,772,987,543,1191,518,358,206,119,132,536,340,184,157,38,65
0500000US37195,37195,"Wilson County, North Carolina",29596,1211,18776,1443,151,168,1853,634,3563,775,4332,676,2876,709,1262,371,2779,523,1673,394,287,215,10820,1479,1457,580,2863,710,2069,814,1924,651,421,211,740,432,752,523,464,263,130,159
