year,election.name,subtype,type,total_citizens,voted,estimate,description
2012,2012/05/08 PRIMARY,Hispanic/Latino,race,252194,502,0.045462778,Eligible
2012,2012/11/06 GENERAL,Hispanic/Latino,race,252194,2577,0.233381634,Eligible
2014,2014/05/06 PRIMARY,Hispanic/Latino,race,257272,139,0.01277691,Eligible
2014,2014/11/04 GENERAL,Hispanic/Latino,race,257272,1022,0.093942458,Eligible
2016,2016/03/15 PRIMARY,Hispanic/Latino,race,257272,1257,0.079769006,Eligible
2016,2016/11/08 GENERAL,Hispanic/Latino,race,257272,4261,0.270402335,Eligible
2008,2008/11/04 GENERAL,Male,gender,241191,65961,0.586674612,Eligible
2010,2010/05/04 PRIMARY,Male,gender,245097,11638,0.104607475,Eligible
2010,2010/11/02 GENERAL,Male,gender,245097,39708,0.35691301,Eligible
2012,2012/05/08 PRIMARY,Male,gender,252194,32182,0.27726372,Eligible
2012,2012/11/06 GENERAL,Male,gender,252194,69197,0.596166107,Eligible
2014,2014/05/06 PRIMARY,Male,gender,257272,15241,0.128515174,Eligible
2014,2014/11/04 GENERAL,Male,gender,257272,44095,0.371817898,Eligible
2016,2016/03/15 PRIMARY,Male,gender,257272,33674,0.272260537,Eligible
2016,2016/11/08 GENERAL,Male,gender,257272,69306,0.560351867,Eligible
