year,geo_description,subtype,quintile,perc,type,se
2009,"Forsyth County, NC",44,2,0.2174657883466237,agep,0.025712810187424738
2009,"Forsyth County, NC",44,3,0.2506271286684478,agep,0.03952937408442447
2009,"Forsyth County, NC",44,4,0.21658882793220893,agep,0.03631907748367488
2009,"Forsyth County, NC",44,5,0.18240776619827462,agep,0.019537624996017966
2009,"Forsyth County, NC",64,1,0.18404086665492336,agep,0.018357062670477486
2009,"Forsyth County, NC",64,2,0.12820151488462217,agep,0.013164907075638646
2009,"Forsyth County, NC",64,3,0.20334683811872467,agep,0.020207631422335018
2009,"Forsyth County, NC",64,4,0.19608948388233222,agep,0.022073733336125303
2009,"Forsyth County, NC",64,5,0.2883212964593976,agep,0.020926923308668372
2009,"Forsyth County, NC",150,1,0.21968980849350558,agep,0.02529157137451996
2009,"Forsyth County, NC",150,2,0.30098379021811433,agep,0.02951444499824588
2009,"Forsyth County, NC",150,3,0.23817526170220216,agep,0.023338492497405862
2009,"Forsyth County, NC",150,4,0.1189300843748906,agep,0.018754650232907254
2009,"Forsyth County, NC",150,5,0.12222105521128733,agep,0.019294473094219694
2010,"Forsyth County, NC",24,1,0.5090572251955537,agep,0.08965047314466214
2010,"Forsyth County, NC",24,2,0.3161794977356937,agep,0.0980884154564474
2010,"Forsyth County, NC",24,3,0.14306298888431454,agep,0.059285505215974824
2010,"Forsyth County, NC",24,4,0.03170028818443804,agep,0.018893708236381295
2010,"Forsyth County, NC",44,1,0.1722157260959649,agep,0.020291038474905137
2010,"Forsyth County, NC",44,2,0.17980593677559645,agep,0.021456662179768764
2010,"Forsyth County, NC",44,3,0.2377171928528935,agep,0.024131171319722873
2010,"Forsyth County, NC",44,4,0.22951155968572426,agep,0.023768788336347255
2010,"Forsyth County, NC",44,5,0.1807495845898209,agep,0.01733970981078721
2010,"Forsyth County, NC",64,1,0.148,agep,0.014860464487226473
2010,"Forsyth County, NC",64,2,0.16023529411764706,agep,0.0178498446919931
2010,"Forsyth County, NC",64,3,0.17976470588235294,agep,0.017890574117000485
2010,"Forsyth County, NC",64,4,0.2444524886877828,agep,0.018259553877132552
2010,"Forsyth County, NC",64,5,0.2675475113122172,agep,0.01815363959547484
2010,"Forsyth County, NC",150,1,0.24140792476315606,agep,0.023780826231494665
2010,"Forsyth County, NC",150,2,0.3210358896341885,agep,0.02334550158920226
2010,"Forsyth County, NC",150,3,0.17512620150750294,agep,0.020097037563225964
2010,"Forsyth County, NC",150,4,0.15199502109121085,agep,0.02028807337972677
2010,"Forsyth County, NC",150,5,0.11043496300394164,agep,0.01615978667589404
2011,"Forsyth County, NC",24,1,0.49040867389491244,agep,0.07021429656413167
2011,"Forsyth County, NC",24,2,0.3002502085070892,agep,0.07191580965487392
2011,"Forsyth County, NC",24,3,0.1354462051709758,agep,0.061328544144757795
2011,"Forsyth County, NC",24,4,0.07389491242702252,agep,0.04054719555431602
2011,"Forsyth County, NC",44,1,0.15327237234151855,agep,0.01818512519448891
2011,"Forsyth County, NC",44,2,0.2709750333915545,agep,0.032083218415091035
2011,"Forsyth County, NC",44,3,0.21432240830165417,agep,0.029098943152383535
2011,"Forsyth County, NC",44,4,0.1789581834994349,agep,0.020435994209413007
2011,"Forsyth County, NC",44,5,0.18247200246583786,agep,0.020886626842667615
2011,"Forsyth County, NC",64,1,0.17074906367041198,agep,0.015623204964454643
2011,"Forsyth County, NC",64,2,0.1599438202247191,agep,0.016145226230715466
2011,"Forsyth County, NC",64,3,0.16372659176029963,agep,0.0194160773870204
2011,"Forsyth County, NC",64,4,0.2196441947565543,agep,0.019838655904641657
2011,"Forsyth County, NC",64,5,0.28593632958801496,agep,0.019082867202376196
2011,"Forsyth County, NC",150,1,0.236766058058584,agep,0.02195428191449966
2011,"Forsyth County, NC",150,2,0.2381124392486536,agep,0.023645651118097678
