year,geo_description,subtype,quintile,perc,type,se
2017,"Forsyth County, NC",64,4,0.2175964017333114,agep,0.01628532049980022
2017,"Forsyth County, NC",64,5,0.27283198946848775,agep,0.01607496881488337
2017,"Forsyth County, NC",150,1,0.27282372287942286,agep,0.018477857471871657
2017,"Forsyth County, NC",150,2,0.22720280091241843,agep,0.02326361718395358
2017,"Forsyth County, NC",150,3,0.1787438332183969,agep,0.02067830793581878
2017,"Forsyth County, NC",150,4,0.18327940162325607,agep,0.01702386740002919
2017,"Forsyth County, NC",150,5,0.13795024136650574,agep,0.013921483053433216
2017,"Guilford County, NC",24,1,0.3517453011123897,agep,0.067489566779253
2017,"Guilford County, NC",24,2,0.3218258534714231,agep,0.06488965222465028
2017,"Guilford County, NC",24,3,0.24677151259429742,agep,0.06463291742757202
2017,"Guilford County, NC",24,4,0.05382943357626902,agep,0.035907131765688445
2017,"Guilford County, NC",24,5,0.025827899245620765,agep,0.02108439995938878
2017,"Guilford County, NC",44,1,0.19240468551816758,agep,0.017952686839335916
2017,"Guilford County, NC",44,2,0.2030291725733045,agep,0.026232955900900058
2017,"Guilford County, NC",44,3,0.20701335521898082,agep,0.030237378824948473
2017,"Guilford County, NC",44,4,0.2263075430873685,agep,0.01740139422058238
2017,"Guilford County, NC",44,5,0.1712452436021786,agep,0.016731074834711573
2017,"Guilford County, NC",64,1,0.1655268138801262,agep,0.014684183879443936
2017,"Guilford County, NC",64,2,0.15333753943217665,agep,0.02820072674094607
2017,"Guilford County, NC",64,3,0.20531230283911672,agep,0.02414606583468029
2017,"Guilford County, NC",64,4,0.2081261829652997,agep,0.017908186057562833
2017,"Guilford County, NC",64,5,0.26769716088328077,agep,0.011996909041013854
2017,"Guilford County, NC",150,1,0.24339787836214444,agep,0.021748881737983797
2017,"Guilford County, NC",150,2,0.2514812778694032,agep,0.02104797089191705
2017,"Guilford County, NC",150,3,0.17866959868059373,agep,0.018333433110511357
2017,"Guilford County, NC",150,4,0.18162197381548673,agep,0.016201108159456645
2017,"Guilford County, NC",150,5,0.14482927127237188,agep,0.012155411122377162
2017,"Durham County, NC",1,1,0.10350801212646167,rac1p,0.010966739002514726
2017,"Durham County, NC",1,2,0.12411300263184195,rac1p,0.015953264877038572
2017,"Durham County, NC",1,3,0.24252923343438718,rac1p,0.016951515768989574
2017,"Durham County, NC",1,4,0.2512742779091848,rac1p,0.016201668660183063
2017,"Durham County, NC",1,5,0.27857547389812437,rac1p,0.016076106031527444
2017,"Durham County, NC",2,1,0.3075559078771696,rac1p,0.02036338015731834
2017,"Durham County, NC",2,2,0.27622246328437916,rac1p,0.026005567961590766
2017,"Durham County, NC",2,3,0.15848214285714285,rac1p,0.021983159017822183
2017,"Durham County, NC",2,4,0.15088868491321764,rac1p,0.02337245844129244
2017,"Durham County, NC",2,5,0.10685080106809079,rac1p,0.018271584917870138
2017,"Durham County, NC",3,1,0.23446244477172312,rac1p,0.05135427912317707
2017,"Durham County, NC",3,2,0.3209621993127148,rac1p,0.06657136703490989
2017,"Durham County, NC",3,3,0.20157093765341189,rac1p,0.05632545067617988
2017,"Durham County, NC",3,4,0.11831124202258222,rac1p,0.050032893807780636
