year,bracket,bucket,status,value,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,married_fulltax_cum,hoh_fulltax_cum
2008,0.15,2,married_min,16050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.25,3,married_min,65100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.28,4,married_min,131450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.33,5,married_min,200300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.35,6,married_min,357700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.15,2,married_min,15650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.25,3,married_min,63700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.28,4,married_min,128500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.33,5,married_min,195850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.35,6,married_min,349700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.1,1,married_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.15,2,married_min,15100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.25,3,married_min,61300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.28,4,married_min,123700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.33,5,married_min,188450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.35,6,married_min,336550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.15,2,hoh_min,13350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.25,3,hoh_min,50800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.28,4,hoh_min,131200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.33,5,hoh_min,212500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.35,6,hoh_min,416700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.4,7,hoh_min,444550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.15,2,hoh_min,13250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.25,3,hoh_min,50400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
