measure,year,county,group,total,rate,passed,not_passed
3rd Grade Reading Score,2016-17,Guilford,male,2866,50.3,1442,1424
3rd Grade Reading Score,2016-17,Guilford,not_eds,2595,68.8,1785,810
3rd Grade Reading Score,2016-17,Guilford,white,1666,74.5,1241,425
3rd Grade Reading Score,2017-18,Durham,ALL,2579,43.3,1117,1462
3rd Grade Reading Score,2017-18,Durham,black,1155,36,416,739
3rd Grade Reading Score,2017-18,Durham,eds,1460,30.8,450,1010
3rd Grade Reading Score,2017-18,Durham,female,1276,45.6,582,694
3rd Grade Reading Score,2017-18,Durham,hispanic,855,32.2,275,580
3rd Grade Reading Score,2017-18,Durham,male,1303,41.1,536,767
3rd Grade Reading Score,2017-18,Durham,not_eds,1119,59.7,668,451
3rd Grade Reading Score,2017-18,Durham,white,457,78.3,358,99
3rd Grade Reading Score,2017-18,Forsyth,ALL,4352,51.6,2246,2106
3rd Grade Reading Score,2017-18,Forsyth,black,1235,37.5,463,772
3rd Grade Reading Score,2017-18,Forsyth,eds,2191,36.6,802,1389
3rd Grade Reading Score,2017-18,Forsyth,female,2124,55.9,1187,937
3rd Grade Reading Score,2017-18,Forsyth,hispanic,1207,33.9,409,798
3rd Grade Reading Score,2017-18,Forsyth,male,2228,47.5,1058,1170
3rd Grade Reading Score,2017-18,Forsyth,not_eds,2161,66.8,1444,717
3rd Grade Reading Score,2017-18,Forsyth,white,1597,73.8,1179,418
3rd Grade Reading Score,2017-18,Guilford,ALL,5599,51.4,2878,2721
3rd Grade Reading Score,2017-18,Guilford,black,2345,39.8,933,1412
3rd Grade Reading Score,2017-18,Guilford,eds,2934,37.8,1109,1825
3rd Grade Reading Score,2017-18,Guilford,female,2769,55.1,1526,1243
3rd Grade Reading Score,2017-18,Guilford,hispanic,963,38.1,367,596
3rd Grade Reading Score,2017-18,Guilford,male,2830,47.8,1353,1477
3rd Grade Reading Score,2017-18,Guilford,not_eds,2665,66.4,1770,895
3rd Grade Reading Score,2017-18,Guilford,white,1678,73.5,1233,445
8th Grade Math Score,2013-14,Durham,ALL,2429,28.4,690,1739
8th Grade Math Score,2013-14,Durham,black,1315,18.6,245,1070
8th Grade Math Score,2013-14,Durham,eds,1581,18.5,292,1289
8th Grade Math Score,2013-14,Durham,female,1138,29.5,336,802
8th Grade Math Score,2013-14,Durham,hispanic,570,23.7,135,435
8th Grade Math Score,2013-14,Durham,male,1291,27.4,354,937
8th Grade Math Score,2013-14,Durham,not_eds,848,46.9,398,450
8th Grade Math Score,2013-14,Durham,white,409,59.7,244,165
8th Grade Math Score,2013-14,Forsyth,ALL,4220,37.7,1591,2629
8th Grade Math Score,2013-14,Forsyth,black,1225,19.7,241,984
8th Grade Math Score,2013-14,Forsyth,eds,2214,19.4,430,1784
8th Grade Math Score,2013-14,Forsyth,female,2032,37.6,764,1268
8th Grade Math Score,2013-14,Forsyth,hispanic,873,20.5,179,694
8th Grade Math Score,2013-14,Forsyth,male,2188,37.7,825,1363
8th Grade Math Score,2013-14,Forsyth,not_eds,2006,57.8,1159,847
8th Grade Math Score,2013-14,Forsyth,white,1847,55.9,1032,815
8th Grade Math Score,2013-14,Guilford,ALL,5768,40.6,2342,3426
8th Grade Math Score,2013-14,Guilford,black,2441,21.3,520,1921
8th Grade Math Score,2013-14,Guilford,eds,3292,24.5,807,2485
8th Grade Math Score,2013-14,Guilford,female,2867,41.7,1196,1671
8th Grade Math Score,2013-14,Guilford,hispanic,624,31.7,198,426
8th Grade Math Score,2013-14,Guilford,male,2901,39.6,1149,1752
8th Grade Math Score,2013-14,Guilford,not_eds,2476,62,1535,941
8th Grade Math Score,2013-14,Guilford,white,2152,62.5,1345,807
8th Grade Math Score,2014-15,Durham,ALL,2425,36,873,1552
8th Grade Math Score,2014-15,Durham,black,1294,26.4,342,952
