measure,year,county,group,total,rate,passed,not_passed
8th Grade Math Score,2014,Guilford,not_eds,2476,62,1535,941
8th Grade Math Score,2014,Guilford,"White, non-Hispanic",2152,62.5,1345,807
8th Grade Math Score,2015,Durham,ALL,2425,36,873,1552
8th Grade Math Score,2015,Durham,African American,1294,26.4,342,952
8th Grade Math Score,2015,Durham,eds,1551,22.7,352,1199
8th Grade Math Score,2015,Durham,female,1191,39.3,468,723
8th Grade Math Score,2015,Durham,Hispanic/Latino,615,27.8,171,444
8th Grade Math Score,2015,Durham,male,1234,32.9,406,828
8th Grade Math Score,2015,Durham,not_eds,874,59.7,522,352
8th Grade Math Score,2015,Durham,"White, non-Hispanic",395,71.4,282,113
8th Grade Math Score,2015,Forsyth,ALL,4119,38.7,1594,2525
8th Grade Math Score,2015,Forsyth,African American,1206,18,217,989
8th Grade Math Score,2015,Forsyth,eds,2269,20.7,470,1799
8th Grade Math Score,2015,Forsyth,female,1989,39.6,788,1201
8th Grade Math Score,2015,Forsyth,Hispanic/Latino,899,25.6,230,669
8th Grade Math Score,2015,Forsyth,male,2130,37.8,805,1325
8th Grade Math Score,2015,Forsyth,not_eds,1850,60.7,1123,727
8th Grade Math Score,2015,Forsyth,"White, non-Hispanic",1741,58,1010,731
8th Grade Math Score,2015,Guilford,ALL,5537,41.5,2298,3239
8th Grade Math Score,2015,Guilford,African American,2241,24.7,554,1687
8th Grade Math Score,2015,Guilford,eds,2745,24.9,684,2061
8th Grade Math Score,2015,Guilford,female,2706,41.2,1115,1591
8th Grade Math Score,2015,Guilford,Hispanic/Latino,679,29.2,198,481
8th Grade Math Score,2015,Guilford,male,2831,41.8,1183,1648
8th Grade Math Score,2015,Guilford,not_eds,2792,57.8,1614,1178
8th Grade Math Score,2015,Guilford,"White, non-Hispanic",2018,61.9,1249,769
8th Grade Math Score,2016,Durham,ALL,2422,31.7,768,1654
8th Grade Math Score,2016,Durham,African American,1266,22.3,282,984
8th Grade Math Score,2016,Durham,eds,1514,19.4,294,1220
8th Grade Math Score,2016,Durham,female,1221,35.1,429,792
8th Grade Math Score,2016,Durham,Hispanic/Latino,617,25.3,156,461
8th Grade Math Score,2016,Durham,male,1201,28.3,340,861
8th Grade Math Score,2016,Durham,not_eds,908,52.2,474,434
8th Grade Math Score,2016,Durham,"White, non-Hispanic",417,65.2,272,145
8th Grade Math Score,2016,Forsyth,ALL,4054,37.1,1504,2550
8th Grade Math Score,2016,Forsyth,African American,1159,19.8,229,930
8th Grade Math Score,2016,Forsyth,eds,1874,19.1,358,1516
8th Grade Math Score,2016,Forsyth,female,2003,38.2,765,1238
8th Grade Math Score,2016,Forsyth,Hispanic/Latino,975,20.4,199,776
8th Grade Math Score,2016,Forsyth,male,2051,36.1,740,1311
8th Grade Math Score,2016,Forsyth,not_eds,2180,52.7,1149,1031
