geo_description,label,year,description,estimate,se,moe,cv,type,subtype
"Durham County, NC",HD01_VD02,2017,Q1,25021,1063,2083,4.25,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2017,Q1,20273,938,1838,4.63,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2017,Q1,22845,954,1870,4.18,Comparison Community,Total
United States,HD01_VD03,2017,Q2,47169,58,114,0.12,Comparison Community,Total
North Carolina,HD01_VD03,2017,Q2,41739,218,427,0.52,Comparison Community,Total
"Durham County, NC",HD01_VD03,2017,Q2,46864,1637,3209,3.49,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2017,Q2,38981,1100,2156,2.82,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2017,Q2,41254,911,1786,2.21,Comparison Community,Total
United States,HD01_VD04,2017,Q3,75494,71,139,0.09,Comparison Community,Total
North Carolina,HD01_VD04,2017,Q3,66158,295,578,0.45,Comparison Community,Total
"Durham County, NC",HD01_VD04,2017,Q3,76767,2649,5192,3.45,Comparison Community,Total
"Forsyth County, NC",HD01_VD04,2017,Q3,63466,1836,3599,2.89,Comparison Community,Total
"Guilford County, NC",HD01_VD04,2017,Q3,65373,1422,2787,2.18,Comparison Community,Total
United States,HD01_VD05,2017,Q4,121116,80,157,0.07,Comparison Community,Total
North Carolina,HD01_VD05,2017,Q4,105929,533,1045,0.5,Comparison Community,Total
"Durham County, NC",HD01_VD05,2017,Q4,124086,3004,5888,2.42,Comparison Community,Total
"Forsyth County, NC",HD01_VD05,2017,Q4,103501,3063,6003,2.96,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2017,Q4,102688,2435,4773,2.37,Comparison Community,Total
United States,HD01_VD06,2017,Q5,228190,315,617,0.14,Comparison Community,Total
North Carolina,HD01_VD06,2017,Q5,198193,1601,3138,0.81,Comparison Community,Total
"Durham County, NC",HD01_VD06,2017,Q5,225366,9996,19592,4.44,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2017,Q5,201795,8354,16374,4.14,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2017,Q5,191193,5187,10167,2.71,Comparison Community,Total
