,V1,V2,V3,V4,V5
Pct_Assoc_p2599AW15_SE,0.000490439,0.002650886,0.021814802,0.013595666,0.013648614
Pop2599AB15,25578326,1386316,72355,59577,106237
Pop2599AB15_SE,16687.538,3715.5015,556.231,457.7508,583.5866
Assoc_p2599AB15,7276786,391999,27081,17995,33147
Assoc_p2599AB15_SE,30060.884,6797.869,1751.864,1390.247,1897.024
Pct_Assoc_p2599AB15,0.2844903,0.2827631,0.3742796,0.3020461,0.3120099
Pct_Assoc_p2599AB15_SE,0.001189814,0.004961766,0.024382435,0.023450417,0.017938594
Pop2599AH15,31653207,450020,20930,21462,21355
Pop2599AH15_SE,16204.8632,2696.6565,0,0,395.7447
Assoc_p2599AH15,6576392,84631,3370,3736,4328
Assoc_p2599AH15_SE,27594.2692,3045.5955,710.584,641.9934,647.8107
Pct_Assoc_p2599AH15,0.2077638,0.1880605,0.1610129,0.1740751,0.2026692
Pct_Assoc_p2599AH15_SE,0.000878233,0.006860871,0.0339505,0.029913026,0.030566936
Pop2534AA15,43897832,1298130,54379,47188,72001
Pop2534AA15_SE,18740.6068,4989.4847,402.7978,397.0033,469.2903
Pop3544AA15,40804130,1312886,45132,45636,66628
Pop3544AA15_SE,16811.0341,4983.3242,634.8286,240.1031,407.288
Pop4564AA15,84012721,2636083,70801,96786,133395
Pop4564AA15_SE,21483.2032,4550.6668,806.0864,461.8945,540.5855
Pop6599AA15,47732480,1515545,34190,55034,73557
Pop6599AA15_SE,11173.1878,2236.3,430.1005,419.8324,457.1372
Assoc_p2534AA15,18825014,537216,30898,22518,29237
Assoc_p2534AA15_SE,43161.038,7159.093,1596.415,1425.652,1835.731
Assoc_p3544AA15,17677211,570355,24573,20280,29559
Assoc_p3544AA15_SE,40213.622,6758.84,1463.109,1218.877,1537.483
Assoc_p4564AA15,32544164,1040607,37084,41124,60419
Assoc_p4564AA15_SE,51117.043,8892.714,1631.794,1600.01,2004.797
Assoc_p6599AA15,15001914,466692,14918,18737,26874
Assoc_p6599AA15_SE,32171.4833,5457.3033,991.7936,1013.3793,1332.5057
Pct_Assoc_p2534AA15,0.428837,0.4138384,0.5681973,0.4771976,0.4060638
Pct_Assoc_p2534AA15_SE,0.001000115,0.005739732,0.029657363,0.030477754,0.025632908
Pct_Assoc_p3544AA15,0.4332211,0.4344284,0.5444696,0.444386,0.4436423
Pct_Assoc_p3544AA15_SE,0.00100156,0.005405718,0.033310775,0.026810807,0.023234442
Pct_Assoc_p4564AA15,0.3873719,0.394755,0.5237779,0.4248962,0.452933
Pct_Assoc_p4564AA15_SE,0.000616455,0.0034416,0.023806596,0.016655314,0.0151407
Pct_Assoc_p6599AA15,0.3142915,0.3079367,0.4363264,0.3404623,0.3653493
Pct_Assoc_p6599AA15_SE,0.000677999,0.00362944,0.029523022,0.018595965,0.018257021
Pop2599AA14,213725624,6661937,198727,241997,338558
Pop2599AA14_SE,39422.4924,5153.7994,521.5805,275.9878,431.6109
Pop2599MA14,103101814,3156700,92719,111418,156392
Pop2599MA14_SE,23760.4863,3693.617,402.4316,327.0517,283.2827
Pop2599FA14,110623810,3505237,106008,130579,182166
Pop2599FA14_SE,21382.9787,2889.9696,396.9605,203.0395,341.0334
Assoc_p2599MA14,38262026,1122309,44942,42314,64944
Assoc_p2599MA14_SE,59985.298,9711.503,1857.126,1673.83,2337.729
Assoc_p2599FA14,43422531,1404647,59218,55200,76585
Assoc_p2599FA14_SE,63980.034,10117.108,2244.001,1994.128,2479.366
Assoc_p2599AA14,81684557,2526956,104160,97514,141529
Assoc_p2599AA14_SE,87702.228,14023.878,2912.809,2603.508,3407.673
Pct_Assoc_p2599AA14,0.3821936,0.3793125,0.5241361,0.4029554,0.4180347
Pct_Assoc_p2599AA14_SE,0.000416361,0.00212543,0.014721754,0.010768241,0.010079354
Pct_Assoc_p2599MA14,0.3711091,0.3555324,0.4847119,0.3797771,0.4152642
Pct_Assoc_p2599MA14_SE,0.000588059,0.003104472,0.0201398,0.015064279,0.014966794
Pct_Assoc_p2599FA14,0.3925243,0.4007281,0.5586182,0.4227326,0.4204132
Pct_Assoc_p2599FA14_SE,0.000583312,0.002905132,0.021271329,0.015285569,0.013633214
Pop2599AW14,142031565,4566400,95082,154098,195157
Pop2599AW14_SE,9862.0061,1795.7447,120.3647,269.3009,505.7751
Assoc_p2599AW14,60162283,1931763,63770,73339,99262
Assoc_p2599AW14_SE,67965.167,11934.232,2027.221,2154.236,2736.327
Pct_Assoc_p2599AW14,0.4235839,0.4230385,0.6706843,0.4759244,0.5086264
Pct_Assoc_p2599AW14_SE,0.000479425,0.002618778,0.021337664,0.014004368,0.014082985
Pop2599AB14,25133184,1359841,71015,58728,104736
Pop2599AB14_SE,20848.0243,3531.9149,356.8389,437.0821,515.5015
Assoc_p2599AB14,6970631,380639,28191,17283,30676
Assoc_p2599AB14_SE,27579.319,5855.222,1769.204,1238.674,1739.882
Pct_Assoc_p2599AB14,0.2773477,0.2799143,0.3969725,0.2942889,0.2928888
Pct_Assoc_p2599AB14_SE,0.001121184,0.00436676,0.024992831,0.021205127,0.016674502
Pop2599AH14,30696216,438807,20400,21377,19312
Pop2599AH14_SE,14994.529,2655.319,0,0,0
Assoc_p2599AH14,6264593,76075,3464,3021,3035
Assoc_p2599AH14_SE,26058.7037,2716.997,537.7456,577.218,534.4074
Pct_Assoc_p2599AH14,0.2040836,0.1733678,0.1698039,0.1413201,0.1571562
Pct_Assoc_p2599AH14_SE,0.000854756,0.006280027,0.026360076,0.027001823,0.027672295
Pop2534AA14,43323099,1279666,53375,46472,68881
Pop2534AA14_SE,19964.7991,4485.565,390.7472,317.3474,462.5856
Pop3544AA14,40751359,1320250,42872,46664,67584
Pop3544AA14_SE,14626.0441,4642.424,465.5797,338.2939,375.4581
Pop4564AA14,83436273,2600872,70124,96668,131785
Pop4564AA14_SE,21161.4461,4276.8463,628.2151,459.5218,439.29
Pop6599AA14,46214893,1461149,32356,52193,70308
Pop6599AA14_SE,11026.6281,1795.379,364.2981,309.1214,303.2289
Assoc_p2534AA14,18323058,522487,31568,18766,31783
Assoc_p2534AA14_SE,41616.55,6566.31,1544.17,1312.237,1747.21
Assoc_p3544AA14,17422576,569686,21870,20866,30148
Assoc_p3544AA14_SE,38549.967,6684.704,1429.836,1219.718,1629.828
Assoc_p4564AA14,31975430,1002839,35319,40575,57207
Assoc_p4564AA14_SE,49227.494,8536.134,1616.715,1531.837,1966.224
Assoc_p6599AA14,13963493,431944,15403,17307,22391
Assoc_p6599AA14_SE,30391.5509,5486.995,955.4968,1025.7213,1234.0999
Pct_Assoc_p2534AA14,0.4229397,0.4082995,0.5914379,0.403813,0.461419
Pct_Assoc_p2534AA14_SE,0.000980182,0.005327123,0.029252793,0.028371478,0.025554215
Pct_Assoc_p3544AA14,0.4275336,0.4314986,0.5101232,0.4471541,0.4460819
Pct_Assoc_p3544AA14_SE,0.000958344,0.005285666,0.033808245,0.026338554,0.024242583
Pct_Assoc_p4564AA14,0.3832318,0.385578,0.5036649,0.4197356,0.4340934
Pct_Assoc_p4564AA14_SE,0.000597954,0.00334271,0.023492476,0.015971492,0.014989939
Pct_Assoc_p6599AA14,0.3021427,0.2956194,0.4760477,0.3315962,0.3184702
Pct_Assoc_p6599AA14_SE,0.000661553,0.003772787,0.030013213,0.019750355,0.017606424
Pop2599AA13,210910615,6568110,193326,238654,333468
Pop2599AA13_SE,42887.538,4334.9544,264.4377,573.2523,317.9331
Pop2599MA13,101763080,3110101,90904,110147,154690
Pop2599MA13_SE,25926.4438,3665.6535,345.2888,559.8784,178.7234
Pop2599FA13,109147535,3458009,102422,128507,178778
Pop2599FA13_SE,22051.6717,3098.4802,441.9453,279.0274,278.4195
Assoc_p2599MA13,37368981,1100003,46963,43908,63386
Assoc_p2599MA13_SE,58810.838,10164.69,2007.68,1821.1,2198.102
Assoc_p2599FA13,42103774,1339711,54634,53301,77224
Assoc_p2599FA13_SE,65303.899,9539.509,1986.62,1922.484,2239.188
Assoc_p2599AA13,79472755,2439714,101597,97209,140610
Assoc_p2599AA13_SE,87882.387,13939.984,2824.437,2648.084,3137.772
Pct_Assoc_p2599AA13,0.3768078,0.3714484,0.5255217,0.4073219,0.4216596
Pct_Assoc_p2599AA13_SE,0.000423667,0.002136486,0.014627382,0.011138964,0.0094181
Pct_Assoc_p2599MA13,0.3672155,0.3536872,0.5166219,0.3986309,0.4097615
Pct_Assoc_p2599MA13_SE,0.000585443,0.003294761,0.022172728,0.016657056,0.014217609
Pct_Assoc_p2599FA13,0.385751,0.3874226,0.5334206,0.4147712,0.4319547
Pct_Assoc_p2599FA13_SE,0.000603363,0.002780427,0.019532511,0.014987233,0.012543016
Pop2599AW13,141478073,4524330,92566,153339,194990
Pop2599AW13_SE,9830.39514,1720.36474,151.36778,69.90881,344.07295
Assoc_p2599AW13,58983847,1884498,62477,74418,98744
Assoc_p2599AW13_SE,66852.187,11868.372,2002.087,2119.751,2401.656
Pct_Assoc_p2599AW13,0.4169116,0.4165253,0.6749454,0.4853168,0.5064055
Pct_Assoc_p2599AW13_SE,0.000473414,0.00262801,0.021656895,0.013825723,0.012349191
Pop2599AB13,24615101,1332148,68746,57609,103138
Pop2599AB13_SE,21242.5532,3888.7538,516.1094,484.4985,1065.6535
Assoc_p2599AB13,6699832,352190,27255,16697,30590
Assoc_p2599AB13_SE,26497.152,5623.657,1774.415,1206.821,1747.306
Pct_Assoc_p2599AB13,0.2721838,0.2643775,0.3964594,0.2898332,0.2965929
Pct_Assoc_p2599AB13_SE,0.001101789,0.004291461,0.025982214,0.021089813,0.017216373
Pop2599AH13,29673441,425173,20434,20544,18794
Pop2599AH13_SE,17149.5441,2756.8389,0,466.2614,0
Assoc_p2599AH13,5877966,71846,4257,2313,3908
Assoc_p2599AH13_SE,26700.6363,2869.1797,767.4268,524.7856,561.538
