"","V1","V2","V3","V4","V5"
"NAME","Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina","North Carolina","United States"
"Pop2599MA14_SE","  402.4316","  327.0517","  283.2827"," 3693.6170","23760.4863"
"Pop2599FA14","   106008","   130579","   182166","  3505237","110623810"
"Pop2599FA14_SE","  396.9605","  203.0395","  341.0334"," 2889.9696","21382.9787"
"Assoc_p2599MA14","   44942","   42314","   64944"," 1122309","38262026"
"Assoc_p2599MA14_SE"," 1857.126"," 1673.830"," 2337.729"," 9711.503","59985.298"
"Assoc_p2599FA14","   59218","   55200","   76585"," 1404647","43422531"
"Assoc_p2599FA14_SE"," 2244.001"," 1994.128"," 2479.366","10117.108","63980.034"
"Assoc_p2599AA14","  104160","   97514","  141529"," 2526956","81684557"
"Assoc_p2599AA14_SE"," 2912.809"," 2603.508"," 3407.673","14023.878","87702.228"
"Pct_Assoc_p2599AA14","0.5241361","0.4029554","0.4180347","0.3793125","0.3821936"
"Pct_Assoc_p2599AA14_SE","0.0147217544","0.0107682405","0.0100793536","0.0021254295","0.0004163612"
"Pct_Assoc_p2599MA14","0.4847119","0.3797771","0.4152642","0.3555324","0.3711091"
"Pct_Assoc_p2599MA14_SE","0.0201397997","0.0150642792","0.0149667941","0.0031044722","0.0005880588"
"Pct_Assoc_p2599FA14","0.5586182","0.4227326","0.4204132","0.4007281","0.3925243"
"Pct_Assoc_p2599FA14_SE","0.0212713294","0.0152855690","0.0136332135","0.0029051316","0.0005833123"
"Pop2599AW14","    95082","   154098","   195157","  4566400","142031565"
"Pop2599AW14_SE"," 120.3647"," 269.3009"," 505.7751","1795.7447","9862.0061"
"Assoc_p2599AW14","   63770","   73339","   99262"," 1931763","60162283"
"Assoc_p2599AW14_SE"," 2027.221"," 2154.236"," 2736.327","11934.232","67965.167"
"Pct_Assoc_p2599AW14","0.6706843","0.4759244","0.5086264","0.4230385","0.4235839"
"Pct_Assoc_p2599AW14_SE","0.0213376642","0.0140043677","0.0140829848","0.0026187777","0.0004794246"
"Pop2599AB14","   71015","   58728","  104736"," 1359841","25133184"
"Pop2599AB14_SE","  356.8389","  437.0821","  515.5015"," 3531.9149","20848.0243"
"Assoc_p2599AB14","  28191","  17283","  30676"," 380639","6970631"
"Assoc_p2599AB14_SE"," 1769.204"," 1238.674"," 1739.882"," 5855.222","27579.319"
"Pct_Assoc_p2599AB14","0.3969725","0.2942889","0.2928888","0.2799143","0.2773477"
"Pct_Assoc_p2599AB14_SE","0.024992831","0.021205127","0.016674502","0.004366760","0.001121184"
"Pop2599AH14","   20400","   21377","   19312","  438807","30696216"
"Pop2599AH14_SE","    0.000","    0.000","    0.000"," 2655.319","14994.529"
"Assoc_p2599AH14","   3464","   3021","   3035","  76075","6264593"
"Assoc_p2599AH14_SE","  537.7456","  577.2180","  534.4074"," 2716.9970","26058.7037"
"Pct_Assoc_p2599AH14","0.1698039","0.1413201","0.1571562","0.1733678","0.2040836"
"Pct_Assoc_p2599AH14_SE","0.0263600760","0.0270018231","0.0276722950","0.0062800272","0.0008547558"
"Pop2534AA14","   53375","   46472","   68881"," 1279666","43323099"
"Pop2534AA14_SE","  390.7472","  317.3474","  462.5856"," 4485.5650","19964.7991"
"Pop3544AA14","   42872","   46664","   67584"," 1320250","40751359"
"Pop3544AA14_SE","  465.5797","  338.2939","  375.4581"," 4642.4240","14626.0441"
"Pop4564AA14","   70124","   96668","  131785"," 2600872","83436273"
"Pop4564AA14_SE","  628.2151","  459.5218","  439.2900"," 4276.8463","21161.4461"
"Pop6599AA14","   32356","   52193","   70308"," 1461149","46214893"
"Pop6599AA14_SE","  364.2981","  309.1214","  303.2289"," 1795.3790","11026.6281"
"Assoc_p2534AA14","   31568","   18766","   31783","  522487","18323058"
"Assoc_p2534AA14_SE"," 1544.170"," 1312.237"," 1747.210"," 6566.310","41616.550"
"Assoc_p3544AA14","   21870","   20866","   30148","  569686","17422576"
"Assoc_p3544AA14_SE"," 1429.836"," 1219.718"," 1629.828"," 6684.704","38549.967"
"Assoc_p4564AA14","   35319","   40575","   57207"," 1002839","31975430"
"Assoc_p4564AA14_SE"," 1616.715"," 1531.837"," 1966.224"," 8536.134","49227.494"
"Assoc_p6599AA14","   15403","   17307","   22391","  431944","13963493"
"Assoc_p6599AA14_SE","  955.4968"," 1025.7213"," 1234.0999"," 5486.9950","30391.5509"
"Pct_Assoc_p2534AA14","0.5914379","0.4038130","0.4614190","0.4082995","0.4229397"
"Pct_Assoc_p2534AA14_SE","0.0292527927","0.0283714784","0.0255542150","0.0053271232","0.0009801823"
"Pct_Assoc_p3544AA14","0.5101232","0.4471541","0.4460819","0.4314986","0.4275336"
"Pct_Assoc_p3544AA14_SE","0.0338082452","0.0263385544","0.0242425825","0.0052856661","0.0009583442"
"Pct_Assoc_p4564AA14","0.5036649","0.4197356","0.4340934","0.3855780","0.3832318"
"Pct_Assoc_p4564AA14_SE","0.0234924760","0.0159714922","0.0149899394","0.0033427104","0.0005979536"
"Pct_Assoc_p6599AA14","0.4760477","0.3315962","0.3184702","0.2956194","0.3021427"
"Pct_Assoc_p6599AA14_SE","0.0300132133","0.0197503550","0.0176064239","0.0037727874","0.0006615533"
"Pop2599AA13","   193326","   238654","   333468","  6568110","210910615"
"Pop2599AA13_SE","  264.4377","  573.2523","  317.9331"," 4334.9544","42887.5380"
"Pop2599MA13","    90904","   110147","   154690","  3110101","101763080"
"Pop2599MA13_SE","  345.2888","  559.8784","  178.7234"," 3665.6535","25926.4438"
"Pop2599FA13","   102422","   128507","   178778","  3458009","109147535"
"Pop2599FA13_SE","  441.9453","  279.0274","  278.4195"," 3098.4802","22051.6717"
"Assoc_p2599MA13","   46963","   43908","   63386"," 1100003","37368981"
"Assoc_p2599MA13_SE"," 2007.680"," 1821.100"," 2198.102","10164.690","58810.838"
"Assoc_p2599FA13","   54634","   53301","   77224"," 1339711","42103774"
"Assoc_p2599FA13_SE"," 1986.620"," 1922.484"," 2239.188"," 9539.509","65303.899"
"Assoc_p2599AA13","  101597","   97209","  140610"," 2439714","79472755"
"Assoc_p2599AA13_SE"," 2824.437"," 2648.084"," 3137.772","13939.984","87882.387"
"Pct_Assoc_p2599AA13","0.5255217","0.4073219","0.4216596","0.3714484","0.3768078"
"Pct_Assoc_p2599AA13_SE","0.014627382","0.011138964","0.009418100","0.002136486","0.000423667"
"Pct_Assoc_p2599MA13","0.5166219","0.3986309","0.4097615","0.3536872","0.3672155"
"Pct_Assoc_p2599MA13_SE","0.0221727280","0.0166570564","0.0142176085","0.0032947610","0.0005854429"
"Pct_Assoc_p2599FA13","0.5334206","0.4147712","0.4319547","0.3874226","0.3857510"
"Pct_Assoc_p2599FA13_SE","0.0195325106","0.0149872325","0.0125430156","0.0027804268","0.0006033631"
"Pop2599AW13","    92566","   153339","   194990","  4524330","141478073"
"Pop2599AW13_SE"," 151.36778","  69.90881"," 344.07295","1720.36474","9830.39514"
"Assoc_p2599AW13","   62477","   74418","   98744"," 1884498","58983847"
"Assoc_p2599AW13_SE"," 2002.087"," 2119.751"," 2401.656","11868.372","66852.187"
"Pct_Assoc_p2599AW13","0.6749454","0.4853168","0.5064055","0.4165253","0.4169116"
"Pct_Assoc_p2599AW13_SE","0.021656895","0.013825723","0.012349191","0.002628010","0.000473414"
"Pop2599AB13","   68746","   57609","  103138"," 1332148","24615101"
"Pop2599AB13_SE","  516.1094","  484.4985"," 1065.6535"," 3888.7538","21242.5532"
"Assoc_p2599AB13","  27255","  16697","  30590"," 352190","6699832"
"Assoc_p2599AB13_SE"," 1774.415"," 1206.821"," 1747.306"," 5623.657","26497.152"
"Pct_Assoc_p2599AB13","0.3964594","0.2898332","0.2965929","0.2643775","0.2721838"
"Pct_Assoc_p2599AB13_SE","0.025982214","0.021089813","0.017216373","0.004291461","0.001101789"
"Pop2599AH13","   20434","   20544","   18794","  425173","29673441"
"Pop2599AH13_SE","    0.0000","  466.2614","    0.0000"," 2756.8389","17149.5441"
"Assoc_p2599AH13","   4257","   2313","   3908","  71846","5877966"
"Assoc_p2599AH13_SE","  767.4268","  524.7856","  561.5380"," 2869.1797","26700.6363"
"Pct_Assoc_p2599AH13","0.2083293","0.1125876","0.2079387","0.1689806","0.1980885"
"Pct_Assoc_p2599AH13_SE","0.0375563680","0.0256719545","0.0298785760","0.0068366350","0.0009070696"
"Pop2534AA13","   53032","   45723","   67738"," 1269513","42626555"
"Pop2534AA13_SE","  433.3592","  571.7964","  329.7888"," 5034.3158","19214.1406"
"Pop3544AA13","   41242","   46653","   67245"," 1320217","40608235"
"Pop3544AA13_SE","  632.0768","  518.1175","  306.6265"," 4471.6474","15183.3011"
"Pop4564AA13","   68472","   95791","  131340"," 2573662","83011835"
"Pop4564AA13_SE","  770.9185","  673.1446","  603.6159"," 4231.1613","22184.4015"
"Pop6599AA13","   30580","   50487","   67145"," 1404718","44663990"
"Pop6599AA13_SE","  351.1184","  392.6478","  420.6744"," 1782.8606","10104.0463"
"Assoc_p2534AA13","   32573","   19097","   29170","  509601","17736987"
"Assoc_p2534AA13_SE"," 1683.490"," 1115.123"," 1594.236"," 6583.260","42748.713"
"Assoc_p3544AA13","   20983","   20864","   31464","  557174","17132055"
"Assoc_p3544AA13_SE"," 1439.289"," 1213.796"," 1507.635"," 6867.290","37662.317"
"Assoc_p4564AA13","   34949","   41745","   58404","  981185","31552136"
"Assoc_p4564AA13_SE"," 1641.581"," 1642.819"," 2097.185"," 8266.966","49598.369"
"Assoc_p6599AA13","   13092","   15503","   21572","  391754","13051577"
"Assoc_p6599AA13_SE","  927.8137","  967.4724"," 1144.2577"," 4841.3696","28881.2772"
"Pct_Assoc_p2534AA13","0.6142141","0.4176673","0.4306298","0.4014146","0.4161018"
"Pct_Assoc_p2534AA13_SE","0.032139129","0.024941703","0.023628527","0.005424478","0.001020254"
"Pct_Assoc_p3544AA13","0.5087775","0.4472167","0.4679010","0.4220321","0.4218862"
"Pct_Assoc_p3544AA13_SE","0.0357591401","0.0264873605","0.0225213154","0.0053944736","0.0009407739"
"Pct_Assoc_p4564AA13","0.5104130","0.4357925","0.4446779","0.3812408","0.3800920"
"Pct_Assoc_p4564AA13_SE","0.0246536129","0.0174213069","0.0160978559","0.0032727191","0.0006060585"
"Pct_Assoc_p6599AA13","0.4281230","0.3070691","0.3212749","0.2788844","0.2922170"
"Pct_Assoc_p6599AA13_SE","0.0307361745","0.0193110380","0.0171600519","0.0034646346","0.0006500048"
"Pop2599AA12","   184952","   236207","   328075","  6489883","208731498"
"Pop2599AA12_SE","  365.3495","  207.9027","  151.9757"," 3784.8024","38457.1429"
"Pop2599MA12","    85014","   109824","   152584","  3084024","100629702"
"Pop2599MA12_SE","  317.3252","  179.9392","  168.9970"," 3251.6717","21556.2310"
"Pop2599FA12","    99938","   126383","   175491","  3405859","108101796"
"Pop2599FA12_SE","  308.2067","  237.6900","  147.1125"," 2413.3739","20213.3739"
"Assoc_p2599MA12","   40377","   41072","   58979"," 1046372","36419334"
"Assoc_p2599MA12_SE"," 1543.462"," 1649.169"," 1959.848"," 9118.854","56092.699"
"Assoc_p2599FA12","   55925","   51730","   69968"," 1291535","40934298"
"Assoc_p2599FA12_SE"," 2137.417"," 1690.536"," 2055.980","10005.558","58210.478"
"Assoc_p2599AA12","   96302","   92802","  128947"," 2337907","77353632"
