geography,level,year,palma,se
903,puma,2009,1.831431236385675,0.17533596301593232
904,puma,2009,4.04475625304005,0.4221917950716746
905,puma,2009,2.3989160876919597,0.18441404595413877
1000,puma,2009,1.915307815571285,0.14539261603499007
1100,puma,2009,2.4561471650591646,0.21281595479174137
1200,puma,2009,2.0953527290977796,0.2612926076635881
1300,puma,2009,2.1057946769519065,0.20451333923421397
1400,puma,2009,2.572996167474241,0.2563197950798036
1500,puma,2009,2.4638363138802593,0.2358996910901065
1601,puma,2009,2.1601123146435395,0.25341447471565104
1602,puma,2009,3.0766527650051088,0.30929372132382865
1700,puma,2009,2.0672982434292795,0.15256096837514632
1800,puma,2009,2.929334173906109,0.22953918910621343
1900,puma,2009,1.6724929410493938,0.14961904432866424
2000,puma,2009,2.156574591259179,0.20965606131134618
2100,puma,2009,1.8384685964940077,0.1920274564158583
2200,puma,2009,2.214126542486979,0.23294800065113472
2300,puma,2009,2.2016948584851246,0.1893838592508273
2400,puma,2009,2.058337395056837,0.21040183495713788
2500,puma,2009,1.7950398829818495,0.19199465070107177
2601,puma,2009,3.3236494063497597,0.34474186999618117
2602,puma,2009,1.8931361276102285,0.1654568464114079
2702,puma,2009,1.6193384277803156,0.13192592012560847
2703,puma,2009,1.6447941998091506,0.11340941484123193
2801,puma,2009,2.466492576362097,0.25772445902282437
2802,puma,2009,2.7920839560254733,0.4177256330264085
2900,puma,2009,3.2288722360785185,0.29191104302272497
3000,puma,2009,2.0747258318289266,0.1595819393721603
3100,puma,2009,1.9998806921952728,0.132500259829055
3200,puma,2009,2.266654238788555,0.17201142346006798
3300,puma,2009,2.2288433751025294,0.22976685552767506
3400,puma,2009,2.1602716343071107,0.169364641402972
3500,puma,2009,2.4018371873545945,0.2449783365981939
3600,puma,2009,2.529326594758652,0.29189549661370434
3700,puma,2009,1.9212118307454156,0.16872745350320623
3800,puma,2009,2.9743732843319517,0.40332208768049693
3900,puma,2009,2.3892051368162033,0.22578288344202424
4000,puma,2009,2.586836400987783,0.19128372177068415
4100,puma,2009,2.9387928691167713,0.3330973681410469
4200,puma,2009,1.7864486975194458,0.1586118491239632
4300,puma,2009,2.1403678238514385,0.14647064258062803
4400,puma,2009,2.2161761120933487,0.28334775508741905
4500,puma,2009,2.1865257987784483,0.22135336741950534
4600,puma,2009,2.8468919223264,0.23772703613149057
4700,puma,2009,2.348607898279553,0.25480233551532677
4800,puma,2009,1.8608298815761337,0.11634656101016948
2701,puma,2009,1.6721727883084894,0.13674387131793725
100,puma,2010,2.0257153630868174,0.15797189353391838
201,puma,2010,2.0243497035621063,0.1967484283476245
202,puma,2010,2.409940376002915,0.20877744702073295
300,puma,2010,2.118931512808743,0.21987084461756218
400,puma,2010,2.092064138616143,0.12246838148732665
500,puma,2010,2.777033513737183,0.30306505065172246
600,puma,2010,2.368119140459415,0.20368720624780354
700,puma,2010,1.9948401819320976,0.15789607253948987
800,puma,2010,1.9402068931486536,0.17386417634688967
902,puma,2010,2.230596124558082,0.25174654941716773
903,puma,2010,2.043275359122781,0.24443747380138783
904,puma,2010,4.0730427072673265,0.48344529785653123
905,puma,2010,2.152566279842199,0.15836062123115854
1000,puma,2010,1.9045319390310678,0.12307904027688507
1100,puma,2010,2.3190523625690016,0.17082515886921873
1200,puma,2010,2.4102220152950777,0.26774072064882337
1300,puma,2010,1.9032308780117464,0.1915101852240694
1400,puma,2010,1.8496244535356392,0.1511764777096077
1500,puma,2010,2.2964165065826116,0.26032456520528513
1601,puma,2010,2.459967306379605,0.361869317272789
1602,puma,2010,2.7199264550648556,0.25046298164837166
1700,puma,2010,2.1557777953108994,0.15584434583207102
1800,puma,2010,2.8733147221575135,0.21362703176330003
1900,puma,2010,1.9974529188440753,0.2335660431561187
2000,puma,2010,1.9565156502996168,0.17006372708604536
2100,puma,2010,2.1504147156315123,0.2166460840949805
2200,puma,2010,1.9272744003668039,0.15018344695647529
2300,puma,2010,2.2195237681166384,0.18432801414329988
2400,puma,2010,1.8849767215518187,0.15256855517172677
2500,puma,2010,1.8831968427266308,0.18983026516712093
2601,puma,2010,3.6833448963029816,0.3431005226428
2602,puma,2010,2.165331489530611,0.17435914438354452
2701,puma,2010,2.0135819161626807,0.16548011645093472
2702,puma,2010,1.6709861381773368,0.11130267612095296
2703,puma,2010,2.0668023459066984,0.18188675235919294
2801,puma,2010,2.7373378187170814,0.3204517548180282
2802,puma,2010,2.456741140016682,0.2374022827942739
2900,puma,2010,3.2548501308371094,0.2633641738568503
3000,puma,2010,1.8898176504269024,0.11192335242657994
3100,puma,2010,2.029817439354375,0.18063205955011932
3200,puma,2010,2.0592161337144472,0.1414927409503506
3300,puma,2010,2.278441823407603,0.17996541232990004
3400,puma,2010,2.0833458468025836,0.16369433436964995
3500,puma,2010,2.281262143966085,0.31019974485398577
3600,puma,2010,2.2259508135395834,0.23940500293115602
3700,puma,2010,1.9662846356071826,0.14516553916066724
3800,puma,2010,2.80111273189164,0.4286084016111608
3900,puma,2010,2.9637336799138994,0.2521211414045385
4000,puma,2010,2.492128894933666,0.15381281995131343
4100,puma,2010,2.4322744723736465,0.22378686830685804
4200,puma,2010,2.0990044944676645,0.19393361217387778
4300,puma,2010,2.3422808724911848,0.2039034042383506
4400,puma,2010,2.3377397535736635,0.23628485000957347
4500,puma,2010,2.288583339182082,0.19711992435322287
4600,puma,2010,3.2089233770397736,0.4505410631271018
4700,puma,2010,2.2388346566696957,0.24588559559684833
4800,puma,2010,2.016239059038986,0.11260594632425212
901,puma,2010,2.6466737619790033,0.28848474040356686
100,puma,2011,2.550491167595962,0.20191232087198538
201,puma,2011,2.111303712104292,0.22647307806600667
202,puma,2011,3.050873768889663,0.31330842459327063
300,puma,2011,2.490571919595591,0.2892800100434147
400,puma,2011,2.0283598357745953,0.1284148885057701
500,puma,2011,2.2796170466997387,0.16977142171032775
600,puma,2011,2.5014619191448877,0.22780457671721877
700,puma,2011,2.225977761358554,0.22935945161537546
800,puma,2011,2.208906495896073,0.15565656711970233
901,puma,2011,3.2284622004942234,0.4346957274336997
902,puma,2011,2.8728253817164977,0.3251294239512409
903,puma,2011,2.7007150168230214,0.4499314311391789
904,puma,2011,4.103296506095263,0.4317577929625638
905,puma,2011,2.293521868016651,0.15853723792583577
1000,puma,2011,2.0614974610569035,0.16133846262295734
1100,puma,2011,2.6544303583698468,0.22652275600963598
1200,puma,2011,2.050098349931488,0.16642583219375656
